Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T059-B03,WT-116:S017,daniel,jason,3,BLK:06 PLN:03 POS:03,MFV 04864,248.70,5/6/2013 14:35,5/6/2013 17:23,2:48:28,,,,,,,,,,248.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 04864,BLK:06 PLN:03 POS:03,248.70
T059-B03,WT-116:S017,daniel,jason,4,BLK:06 PLN:03 POS:05,MFV 04866,251.80,5/6/2013 14:39,5/6/2013 17:36,2:57:24,,,,,,,,,,251.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 04866,BLK:06 PLN:03 POS:05,251.80
T059-B03,WT-116:S017,daniel,jason,5,BLK:06 PLN:03 POS:07,MFV 02662,250.70,5/6/2013 14:25,5/6/2013 17:28,3:02:31,,,,,,,,,,250.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 02662,BLK:06 PLN:03 POS:07,250.70
T059-B03,WT-116:S017,daniel,jason,7,BLK:06 PLN:03 POS:09,MFV 04847,251.70,5/6/2013 14:10,5/6/2013 16:34,2:23:49,,,,,,,,,,251.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 04847,BLK:06 PLN:03 POS:09,251.70
T059-B03,WT-116:S017,daniel,jason,10,BLK:06 PLN:03 POS:11,MFV 02040,250.70,5/6/2013 14:18,5/6/2013 16:41,2:22:55,,,,,,,,,,250.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 02040,BLK:06 PLN:03 POS:11,250.70
T059-B03,WT-116:S017,daniel,jason,2,BLK:06 PLN:05 POS:00,MFV 04696,161.80,5/6/2013 16:30,5/6/2013 19:55,3:24:50,swap,T59-B03,WT-169-S017,89.80,,,,,,251.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 04696,BLK:06 PLN:05 POS:00,251.60
T059-B03,WT-116:S017,daniel,jason,7,BLK:06 PLN:05 POS:08,MFV 04589,149.60,5/6/2013 16:35,5/6/2013 20:05,3:30:45,swap,T59-B03,WT-169-S017,102.00,,,,,,251.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 04589,BLK:06 PLN:05 POS:08,251.60
T059-B03,WT-116:S017,daniel,jason,10,BLK:06 PLN:05 POS:10,MFV 01997,138.70,5/6/2013 16:41,5/6/2013 20:05,3:23:59,swap,T59-B03,WT-169-S017,113.70,,,,,,252.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,27,MFV 01997,BLK:06 PLN:05 POS:10,252.40
,,james,galvin,2,BLK:06 PLN:05 POS:01,MFV 04603,,5/6/2013 19:56,5/6/2013 22:17,2:21:42,,T59-B03,WT-169-S017,253.10,,,,,,253.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,28,MFV 04603,BLK:06 PLN:05 POS:01,253.10
T059-B03,WT-116:S017,james,galvin,3,BLK:06 PLN:05 POS:02,MFV 04594,103.00,5/6/2013 17:24,5/6/2013 20:25,3:00:53,swap,T59-B03,WT-169-S017,146.10,,,,,,249.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,29,MFV 04594,BLK:06 PLN:05 POS:02,249.10
