Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T059-B02,WT-163:S012,daniel,jason,11,BLK:04 PLN:26 POS:01,MFV 01674,247.70,3/26/2013 12:34,3/26/2013 14:15,1:40:41,,,,,247.70,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:26 POS:01,MFV 01674,5.50,4/10/2013 22:11,4/10/2013 22:22,0:10:51,,,,,5.50,T64-B13,WT163:S066,Larry,Brent,9,BLK:04 PLN:26 POS:01,MFV 01674,0.2,5/28/2014 16:08,5/28/2014 16:12,0:04:28,"1/2""",,,0.00,0.20,,,,,,,,0.00,,,,,,,0.00,0.00,,18,MFV 01674,BLK:04 PLN:26 POS:01,253.40,
T059-B02,WT-163:S012,daniel,jason,3,BLK:04 PLN:22 POS:01,MFV 01945,246.00,3/26/2013 12:41,3/26/2013 14:27,1:46:22,,,,,246.00,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:22 POS:01,MFV 01945,3.60,4/10/2013 21:53,4/10/2013 22:04,0:10:59,,,,,3.60,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,19,MFV 01945,BLK:04 PLN:22 POS:01,249.60,
T059-B02,WT-163:S012,daniel,jason,4,BLK:04 PLN:18 POS:01,MFV 01911,248.00,3/26/2013 12:48,3/26/2013 14:40,1:51:47,,,,,248.00,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:18 POS:01,MFV 01911,4.10,4/10/2013 21:27,4/10/2013 21:38,0:11:08,,,,,4.10,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,20,MFV 01911,BLK:04 PLN:18 POS:01,252.10,
T059-B02,WT-163:S012,daniel,jason,7,BLK:04 PLN:14 POS:01,MFV 02851,246.90,3/26/2013 12:37,3/26/2013 14:20,1:42:55,,,,,246.90,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:14 POS:01,MFV 02851,3.90,4/10/2013 22:32,4/10/2013 22:48,0:15:09,,,,,3.90,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,21,MFV 02851,BLK:04 PLN:14 POS:01,250.80,
T059-B02,WT-163:S012,daniel,jason,8,BLK:04 PLN:10 POS:01,MFV 01780,248.30,3/26/2013 12:38,3/26/2013 14:24,1:46:06,,,,,248.30,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:10 POS:01,MFV 01780,3.80,4/10/2013 22:11,4/10/2013 22:22,0:10:53,,,,,3.80,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,22,MFV 01780,BLK:04 PLN:10 POS:01,252.10,
T059-B02,WT-163:S012,daniel,jason,9,BLK:04 PLN:06 POS:01,MFV 02750,246.80,3/26/2013 12:38,3/26/2013 14:23,1:45:28,,,,,246.80,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:06 POS:01,MFV 02750,3.60,4/10/2013 21:53,4/10/2013 22:04,0:10:59,,,,,3.60,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,23,MFV 02750,BLK:04 PLN:06 POS:01,250.40,
T059-B02,WT-163:S012,daniel,jason,10,BLK:04 PLN:02 POS:01,MFV 01828,247.70,3/26/2013 12:39,3/26/2013 14:23,1:44:11,,,,,247.70,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:02 POS:01,MFV 01828,3.60,4/10/2013 21:28,4/10/2013 21:38,0:09:36,,,,,3.60,T64-B13,WT163:S066,Larry,Brent,9,BLK:04 PLN:02 POS:01,MFV 01828,0.6,5/28/2014 15:53,5/28/2014 15:57,0:04:21,"1/2""",,,0.00,0.60,,,,,,,,0.00,,,,,,,0.00,0.00,,24,MFV 01828,BLK:04 PLN:02 POS:01,251.90,
T059-B02,WT-163:S012,daniel,jason,1,BLK:04 PLN:28 POS:01,MFV 00646,244.00,3/26/2013 14:43,3/26/2013 16:32,1:49:27,,,,,244.00,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:28 POS:01,MFV 00646,4.30,4/10/2013 22:23,4/10/2013 22:32,0:09:34,,,,,4.30,T64-B13,WT163:S066,Larry,Brent,9,BLK:04 PLN:28 POS:01,MFV 00646,1.1,5/28/2014 16:13,5/28/2014 16:17,0:04:29,"3/8""",,,0.00,1.10,,,,,,,,0.00,,,,,,,0.00,0.00,,25,MFV 00646,BLK:04 PLN:28 POS:01,249.40,
T059-B02,WT-163:S012,daniel,jason,11,BLK:04 PLN:24 POS:01,MFV 04493,246.60,3/26/2013 14:15,3/26/2013 15:57,1:42:23,,,,,246.60,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:24 POS:01,MFV 04493,3.00,4/10/2013 22:04,4/10/2013 22:11,0:06:43,,,,,3.00,T64-B13,WT163:S066,Larry,Brent,9,BLK:04 PLN:24 POS:01,MFV 04493,0.5,5/28/2014 16:02,5/28/2014 16:07,0:05:33,"1/4""",,,0.00,0.50,,,,,,,,0.00,,,,,,,0.00,0.00,,26,MFV 04493,BLK:04 PLN:24 POS:01,250.10,
T059-B02,WT-163:S012,daniel,jason,3,BLK:04 PLN:20 POS:01,MFV 01754,246.00,3/26/2013 14:27,3/26/2013 16:16,1:48:29,,,,,246.00,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:20 POS:01,MFV 01754,4.80,4/10/2013 21:38,4/10/2013 21:53,0:14:37,,,,,4.80,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,27,MFV 01754,BLK:04 PLN:20 POS:01,250.80,
T059-B02,WT-163:S012,daniel,jason,4,BLK:04 PLN:16 POS:01,MFV 01772,247.90,3/26/2013 14:40,3/26/2013 16:27,1:46:47,,,,,247.90,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:16 POS:01,MFV 01772,3.10,4/10/2013 21:17,4/10/2013 21:26,0:09:30,,,,,3.10,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,28,MFV 01772,BLK:04 PLN:16 POS:01,251.00,
T059-B02,WT-163:S012,daniel,jason,7,BLK:04 PLN:12 POS:01,MFV 01963,251.00,3/26/2013 14:20,3/26/2013 16:08,1:47:42,,,,,251.00,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:12 POS:01,MFV 01963,2.20,4/10/2013 22:23,4/10/2013 22:32,0:09:31,,,,,2.20,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,29,MFV 01963,BLK:04 PLN:12 POS:01,253.20,
