Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,,
T59-B01,WT-163:S004,galvin, james,11,BLK:01 PLN:02 POS:05,MFV 01402,249.10,2/6/2013 7:53,2/6/2013 12:32,4:38:22,Y,at 12:32 we pushed stop fill by accident . Real stop time was 10:11.,,,0.00,249.10,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:02 POS:05,MFV 01402,1.4,2/20/2013 17:36,2/20/2013 17:43,0:06:32,y,,,,0.00,1.40,T64-B13,WT-163:SO66,LARRY,BRENT,9,BLK:01 PLN:02 POS:05,MFV 01402,2.1,5/8/2014 8:38,5/8/2014 8:46,0:08:26,,"1""",,,0.00,2.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,89,MFV 01402,BLK:01 PLN:02 POS:05,252.60,,
T59-B01,WT-163:S004,daniel,jason,11,BLK:01 PLN:02 POS:06,MFV 00802,245.30,2/6/2013 20:16,2/6/2013 21:53,1:36:45,y,,,,0.00,245.30,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:02 POS:06,MFV 00802,5.3,2/20/2013 16:07,2/20/2013 16:19,0:11:52,y,,,,0.00,5.30,T64-B13,WT-163:SO66,Trina,Larry,9,BLK:01 PLN:02 POS:06,MFV 00802,1.4,5/7/2014 9:20,5/7/2014 9:28,0:07:46,,"low 1/4""",,,0.00,1.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,108,MFV 00802,BLK:01 PLN:02 POS:06,252.00,,
T59-B01,WT-116:S004,galvin, james,11,BLK:01 PLN:02 POS:07,MFV 04063,239.10,2/7/2013 8:30,2/7/2013 10:16,1:46:09,y,,,,0.00,239.10,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:02 POS:07,MFV 04063,2.4,2/20/2013 14:41,2/20/2013 14:46,0:05:43,y,,,,0.00,2.40,T64-B13,WT-163:SO66,Larry,Jay,4,BLK:01 PLN:02 POS:07,MFV 04063,4.8,5/12/2014 13:38,5/12/2014 13:58,0:19:45,,"3/4"" low",,,0.00,4.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,121,MFV 04063,BLK:01 PLN:02 POS:07,246.30,,
T59-B01,WT-116:S004,galvin,james,11,BLK:01 PLN:02 POS:08,MFV 01197,3.20,2/7/2013 16:44,2/7/2013 17:25,0:40:58,y,tanker swap ,T59-B01,WT-166:S004,245.90,249.10,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:02 POS:08,MFV 01197,4.7,2/20/2013 13:52,2/20/2013 14:02,0:09:53,y,,,,0.00,4.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,143,MFV 01197,BLK:01 PLN:02 POS:08,253.80,,
T59-B01,WT-166:S004,daniel,jason,11,BLK:01 PLN:02 POS:09,MFV 03197,242.90,2/8/2013 1:27,2/8/2013 3:03,1:36:07,y,,,,0.00,242.90,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:02 POS:09,MFV 03197,2,2/20/2013 11:12,2/20/2013 11:20,0:07:50,y,,,,0.00,2.00,T64-B13,WT-163:S066,wood,blackmer,4,BLK:01 PLN:02 POS:09,MFV 03197,4.9,5/6/2014 8:19,5/6/2014 9:13,0:54:26,,"1 1/2"" low",,,0.00,4.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,156,MFV 03197,BLK:01 PLN:02 POS:09,249.80,,
T59-B01,WT-169:S004,galvin,james,3,BLK:01 PLN:02 POS:10,MFV 00222,250.30,2/8/2013 13:17,2/8/2013 15:10,1:52:51,y,,,,0.00,250.30,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:02 POS:10,MFV 00222,2,2/20/2013 10:23,2/20/2013 10:28,0:04:57,y,,,,0.00,2.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,169,MFV 00222,BLK:01 PLN:02 POS:10,252.30,,
T59-B01,WT-169:S004,daniel,jason,3,BLK:01 PLN:02 POS:11,MFV 01272,248.00,2/11/2013 23:32,2/12/2013 1:55,2:23:10,y,,,,0.00,248.00,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:02 POS:11,MFV 01272,2.5,2/20/2013 8:16,2/20/2013 8:35,0:18:42,y,,,,0.00,2.50,T64-B13,WT-163:S066,Trina,Perko,4,BLK:01 PLN:02 POS:11,MFV 01272,0.8,5/2/2014 10:15,5/2/2014 10:21,0:06:04,,"1 "" below lower notch",,,0.00,0.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,188,MFV 01272,BLK:01 PLN:02 POS:11,251.30,,
T64-B01,WT-169:S003,daniel,jason,11,BLK:01 PLN:04 POS:00,MFV 04086,179.40,1/31/13 13:24,1/31/13 16:16,2:52:29,,,T64-B01,WT-166:S003,70.20,249.60,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:04 POS:00,MFV 04086,1.7,2/21/2013 8:26,2/21/2013 8:30,0:04:01,y,,,,0.00,1.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,8,MFV 04086,BLK:01 PLN:04 POS:00,251.30,,
T64-B01,WT-166:S003,james,galvin,11,BLK:01 PLN:04 POS:01,MFV 01266,247.10,1/31/13 21:59,1/31/13 23:25,1:26:45,,,,,0.00,247.10,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:04 POS:01,MFV 01266,4.6,2/21/2013 1:54,2/21/2013 2:05,0:10:47,y,,,,0.00,4.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 01266,BLK:01 PLN:04 POS:01,251.70,,
T64-B01,WT-164:S003,daniel,jason,11,BLK:01 PLN:04 POS:02,MFV 01347,250.40,2/1/13 14:32,2/1/13 16:25,1:53:56,,,,,0.00,250.40,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:04 POS:02,MFV 01347,1.5,2/20/2013 23:14,2/20/2013 23:19,0:05:24,y,,,,0.00,1.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,40,MFV 01347,BLK:01 PLN:04 POS:02,251.90,,
