Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B08,WT-165:S043,daniel,jason,10,BLK:18 PLN:03 POS:08,MFV 08715,250.3,10/23/2013 14:21,10/23/2013 16:41,2:20:51,,,,,250.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 08715,BLK:18 PLN:03 POS:08,250.30
T59-B08,WT-165:S043,daniel,jason,10,BLK:18 PLN:03 POS:09,MFV 08726,249.7,10/23/2013 16:41,10/23/2013 19:18,2:36:13,,,,,249.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 08726,BLK:18 PLN:03 POS:09,249.70
T59-B08,WT-165:S043,daniel,jason,11,BLK:18 PLN:03 POS:10,MFV 03589,252.2,10/23/2013 14:18,10/23/2013 16:38,2:19:44,,,,,252.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 03589,BLK:18 PLN:03 POS:10,252.20
T59-B08,WT-165:S043,daniel,jason,11,BLK:18 PLN:03 POS:11,MFV 08759,252.4,10/23/2013 16:38,10/23/2013 19:13,2:35:00,,,,,252.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 08759,BLK:18 PLN:03 POS:11,252.40
T59-B08,WT-165:S043,Wood,James,2,BLK:18 PLN:05 POS:00,MFV 08732,20,10/23/2013 19:15,10/23/2013 22:18,3:02:42,swap,T64-B09,WT-116:S044,230.2,250.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 08732,BLK:18 PLN:05 POS:00,250.20
T64-B09,WT-116:S044,Wood,James,2,BLK:18 PLN:05 POS:01,MFV 08758,249.9,10/23/2013 22:18,10/24/2013 0:41,2:22:43,,,,,249.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 08758,BLK:18 PLN:05 POS:01,249.90
T59-B08,WT-165:S043,Wood,James,4,BLK:18 PLN:05 POS:02,MFV 08775,21.7,10/23/2013 19:15,10/23/2013 22:16,3:01:40,swap,T64-B09,WT-116:S044,229.7,251.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,27,MFV 08775,BLK:18 PLN:05 POS:02,251.40
T64-B09,WT-116:S044,Wood,James,4,BLK:18 PLN:05 POS:03,MFV 08777,250,10/23/2013 22:16,10/24/2013 0:42,2:25:18,,,,,250.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,28,MFV 08777,BLK:18 PLN:05 POS:03,250.00
T59-B08,WT-165:S043,Wood,James,5,BLK:18 PLN:05 POS:04,MFV 08768,1.8,10/23/2013 19:26,10/23/2013 22:32,3:05:26,swap,T64-B09,WT-116:S044,249.7,251.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,29,MFV 08768,BLK:18 PLN:05 POS:04,251.50
T64-B09,WT-116:S044,Wood,James,5,BLK:18 PLN:05 POS:05,MFV 08760,251.5,10/23/2013 22:32,10/24/2013 0:57,2:25:05,,,,,251.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,30,MFV 08760,BLK:18 PLN:05 POS:05,251.50
