Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T64-B10,WT-116:S050,daniel,jason,9,BLK:21 PLN:02 POS:04,MFV 09759,244.8,12/3/2013 23:25,12/4/2013 1:21,1:55:42,,,,,244.80,T59-B10,WT-116:S052,wood,blackmer,10,BLK:21 PLN:02 POS:04,MFV 09759,1.4,12/17/2013 2:47,12/17/2013 2:54,0:07:11,,,,,1.40,T64-B13,WT169:S064,Larry,Brent,,BLK:21 PLN:02 POS:04,MFV 09759,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 09759,BLK:21 PLN:02 POS:04,246.20,
T64-B10,WT-116:S050,blackmer,plerchee,9,BLK:21 PLN:02 POS:05,MFV 00068,200.6,12/4/2013 7:41,12/4/2013 12:47,5:05:53,swap,T64-B10,WT-165:S049,45.9,246.50,T59-B10,WT-116:S052,wood,blackmer,10,BLK:21 PLN:02 POS:05,MFV 00068,0.7,12/17/2013 0:46,12/17/2013 0:56,0:10:54,,,,,0.70,T64-B13,WT169:S064,Larry,Brent,5,BLK:21 PLN:02 POS:05,MFV 00068,1.6,7/16/2014 15:29,7/16/2014 15:36,0:07:10,"1""",,,0.00,1.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 00068,BLK:21 PLN:02 POS:05,248.80,
T64-B10,WT-165:S049,blackmer,plerchee,9,BLK:21 PLN:02 POS:06,MFV 04242,244.6,12/4/2013 16:19,12/4/2013 18:43,2:23:54,,,,,244.60,T59-B10,WT-116:S052,wood,blackmer,10,BLK:21 PLN:02 POS:06,MFV 04242,0.9,12/16/2013 23:16,12/16/2013 23:22,0:06:23,,,,,0.90,T64-B13,WT169:S064,Larry,Brent,5,BLK:21 PLN:02 POS:06,MFV 04242,1.7,7/16/2014 12:24,7/16/2014 12:31,0:06:31,"1/4""",,,0.00,1.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 04242,BLK:21 PLN:02 POS:06,247.20,
T64-B10,WT-165:S049,daniel,jason,9,BLK:21 PLN:02 POS:07,MFV 00193,34.7,12/4/2013 20:43,12/4/2013 23:06,2:23:06,swap,T64-B10,WT-169:S048,213,247.70,T59-B10,WT-116:S052,wood,blackmer,10,BLK:21 PLN:02 POS:07,MFV 00193,2.9,12/16/2013 21:27,12/16/2013 21:34,0:07:27,,,,,2.90,T64-B13,WT169:S064,Larry,Brent,5,BLK:21 PLN:02 POS:07,MFV 00193,4,7/16/2014 9:53,7/16/2014 9:59,0:05:27,"1/4""",,,0.00,4.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 00193,BLK:21 PLN:02 POS:07,254.60,
T64-B10,WT-169:S048,daniel,jason,9,BLK:21 PLN:02 POS:08,MFV 04288,244.1,12/5/2013 1:02,12/5/2013 6:49,5:46:22,,,,,244.10,T59-B10,WT-116:S052,wood,blackmer,10,BLK:21 PLN:02 POS:08,MFV 04288,4.6,12/16/2013 20:10,12/16/2013 20:24,0:14:20,,,,,4.60,T64-B13,WT169:S064,Larry,Brent,5,BLK:21 PLN:02 POS:08,MFV 04288,1.1,7/16/2014 7:31,7/16/2014 7:36,0:04:35,"3/8""",,,0.00,1.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 04288,BLK:21 PLN:02 POS:08,249.80,
T64-B10,WT-168:S024,daniel,jim,9,BLK:21 PLN:02 POS:09,MFV 04254,244.5,12/5/2013 17:58,12/5/2013 20:02,2:04:28,,,,,244.50,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:02 POS:09,MFV 04254,2.6,12/16/2013 16:31,12/16/2013 16:38,0:07:19,,,,,2.60,T64-B13,WT169:S064,Brent,Larry,5,BLK:21 PLN:02 POS:09,MFV 04254,1.6,7/15/2014 13:57,7/15/2014 14:04,0:06:16,"9/16""",,,0.00,1.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 04254,BLK:21 PLN:02 POS:09,248.70,
T64-B10,WT-168:S024,daniel,jim,9,BLK:21 PLN:02 POS:10,MFV 09499,199.3,12/5/2013 23:10,12/6/2013 1:42,2:32:47,swap,T64-B10,WT-163:SO51,47.1,246.40,T59-B10,WT-116:S052,gary,jim,8,BLK:21 PLN:02 POS:10,MFV 09499,1.1,12/16/2013 14:43,12/16/2013 14:49,0:06:12,,,,,1.10,T64-B13,WT169:S064,Brent,Larry,1,BLK:21 PLN:02 POS:10,MFV 09499,0.5,7/15/2014 10:30,7/15/2014 10:35,0:05:13,"1/4""",,,0.00,0.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 09499,BLK:21 PLN:02 POS:10,248.00,
T64-B10,WT-163:SO51,galvin,Jim,9,BLK:21 PLN:02 POS:11,MFV 01368,248.8,12/9/2013 7:47,12/9/2013 9:59,2:11:59,,,,,248.80,T59-B10,WT-116:S052,galvin,jim,10,BLK:21 PLN:02 POS:11,MFV 01368,1.6,12/16/2013 13:24,12/16/2013 13:29,0:04:56,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 01368,BLK:21 PLN:02 POS:11,250.40,
T64-B10,WT-164:S048,jason,daniel,8,BLK:21 PLN:04 POS:00,MFV 09714,246.1,12/3/2013 1:48,12/3/2013 9:42,7:53:42,had to stop early due to oil to hot,,,,246.10,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:04 POS:00,MFV 09714,1.6,12/17/2013 13:10,12/17/2013 13:16,0:06:11,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 09714,BLK:21 PLN:04 POS:00,247.70,
T64-B10,WT-164:S048,galvin,blackmer,8,BLK:21 PLN:04 POS:01,MFV 05768,248.3,12/3/2013 12:21,12/3/2013 14:39,2:17:40,30 min. delay due to hot oil.,,,,248.30,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:04 POS:01,MFV 05768,1.6,12/17/2013 11:13,12/17/2013 11:17,0:04:34,,,,,1.60,T64-B13,WT169:S064,Larry,Brent,1,BLK:21 PLN:04 POS:01,MFV 05768,1.1,7/17/2014 13:35,7/17/2014 13:41,0:05:47,"3/16""",,,0.00,1.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 05768,BLK:21 PLN:04 POS:01,251.00,
