Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B09,WT-166:S049,wood,james,10,BLK:19 PLN:15 POS:09,MFV 09057,250.7,11/7/2013 20:34,11/7/2013 22:58,2:23:52,,,,,250.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,94,MFV 09057,BLK:19 PLN:15 POS:09,250.70
T64-B09,WT-116:S046,daniel,jason,8,BLK:19 PLN:15 POS:10,MFV 09045,182.1,11/7/2013 15:53,11/7/2013 20:03,4:10:37,swap,T59-B09,WT-166:S049,70.9,253.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,95,MFV 09045,BLK:19 PLN:15 POS:10,253.00
T59-B09,WT-166:S049,wood,james,8,BLK:19 PLN:15 POS:11,MFV 08900,250.7,11/7/2013 20:03,11/7/2013 22:19,2:15:53,,,,,250.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,96,MFV 08900,BLK:19 PLN:15 POS:11,250.70
T59-B09,WT-166:S049,wood,james,2,BLK:19 PLN:17 POS:00,MFV 01035,251.5,11/7/2013 22:16,11/8/2013 0:35,2:18:24,,,,,251.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,97,MFV 01035,BLK:19 PLN:17 POS:00,251.50
T59-B09,WT-166:S049,wood,james,2,BLK:19 PLN:17 POS:01,MFV 08896,248.1,11/8/2013 0:37,11/8/2013 2:49,2:12:24,,,,,248.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,98,MFV 08896,BLK:19 PLN:17 POS:01,248.10
T59-B09,WT-166:S049,wood,james,5,BLK:19 PLN:17 POS:02,MFV 02373,254.1,11/7/2013 22:18,11/8/2013 0:36,2:18:31,,,,,254.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,99,MFV 02373,BLK:19 PLN:17 POS:02,254.10
T59-B09,WT-166:S049,wood,james,5,BLK:19 PLN:17 POS:03,MFV 08902,248.8,11/8/2013 0:37,11/8/2013 2:52,2:15:27,,,,,248.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,100,MFV 08902,BLK:19 PLN:17 POS:03,248.80
T59-B09,WT-166:S049,wood,james,6,BLK:19 PLN:17 POS:04,MFV 08740,250.1,11/7/2013 22:27,11/8/2013 0:45,2:18:08,,,,,250.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,101,MFV 08740,BLK:19 PLN:17 POS:04,250.10
T59-B09,WT-166:S049,wood,james,6,BLK:19 PLN:17 POS:05,MFV 08881,245.6,11/8/2013 0:46,11/8/2013 2:58,2:12:55,,,,,245.60,T64-B13,WT169:S064,Cole,John,1,BLK:19 PLN:17 POS:05,MFV 08881,3.2,7/14/2014 10:08,7/14/2014 10:24,0:15:49,"6""",,,0.00,3.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,102,MFV 08881,BLK:19 PLN:17 POS:05,248.80
T59-B09,WT-166:S049,wood,james,7,BLK:19 PLN:17 POS:06,MFV 03645,251.1,11/7/2013 22:20,11/8/2013 0:38,2:17:15,,,,,251.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,103,MFV 03645,BLK:19 PLN:17 POS:06,251.10
