Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B13,WT-164 SO59,wood,perko,4,BLK:27 PLN:07 POS:06,MFV 10848,250.4,4/16/2014 7:18,4/16/2014 9:45,2:26:32,,,,,,,,,250.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,40,MFV 10848,BLK:27 PLN:07 POS:06,250.40
T64-B13,WT-164 SO59,wood,perko,5,BLK:27 PLN:07 POS:08,MFV 11140,251.6,4/16/2014 7:19,4/16/2014 9:51,2:31:37,,,,,,,,,251.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,41,MFV 11140,BLK:27 PLN:07 POS:08,251.60
T64-B13,WT-164 SO59,wood,perko,6,BLK:27 PLN:07 POS:10,MFV 07349,250.4,4/16/2014 7:21,4/16/2014 9:55,2:34:26,,,,,,,,,250.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,42,MFV 07349,BLK:27 PLN:07 POS:10,250.40
T64-B13,WT-164 SO59,wood,perko,1,BLK:27 PLN:07 POS:01,MFV 01137,238.2,4/16/2014 10:43,4/16/2014 13:11,2:27:41,,,,,,,,,238.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,43,MFV 01137,BLK:27 PLN:07 POS:01,238.20
T64-B13,WT-164 SO59,wood,perko,2,BLK:27 PLN:07 POS:03,MFV 11036,248.9,4/16/2014 9:57,4/16/2014 12:27,2:30:09,,,,,,,,,248.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,44,MFV 11036,BLK:27 PLN:07 POS:03,248.90
T64-B13,WT-164 SO59,wood,perko,3,BLK:27 PLN:07 POS:05,MFV 10620,247.8,4/16/2014 9:46,4/16/2014 12:12,2:25:50,,,,,,,,,247.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,45,MFV 10620,BLK:27 PLN:07 POS:05,247.80
T64-B13,WT-164 SO59,wood,perko,4,BLK:27 PLN:07 POS:07,MFV 10836,249.9,4/16/2014 9:45,4/16/2014 12:10,2:24:37,,,,,,,,,249.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,46,MFV 10836,BLK:27 PLN:07 POS:07,249.90
T64-B13,WT-164 SO59,wood,perko,5,BLK:27 PLN:07 POS:09,MFV 11048,249,4/16/2014 9:51,4/16/2014 12:19,2:27:45,,,,,,,,,249,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,47,MFV 11048,BLK:27 PLN:07 POS:09,249.00
T64-B13,WT-164 SO59,wood,perko,6,BLK:27 PLN:07 POS:11,MFV 11012,248.7,4/16/2014 9:55,4/16/2014 12:24,2:29:01,,,,,,,,,248.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,48,MFV 11012,BLK:27 PLN:07 POS:11,248.70
T64-B13,WT-164 SO59,wood,perko,1,BLK:27 PLN:09 POS:00,MFV 11041,247.6,4/16/2014 13:11,4/16/2014 15:40,2:28:50,,,,,,,,,247.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,49,MFV 11041,BLK:27 PLN:09 POS:00,247.60
