Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T64-B11,WT-116:S056,Galvin,Jason,11,BLK:24 PLN:02 POS:05,MFV 03811,196,2/3/2014 15:00,2/3/2014 17:30,2:29:54,,T64-B11,WT-169:S055,49.4,245.40,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:02 POS:05,MFV 03811,2.6,2/12/2014 18:04,2/12/2014 18:12,0:08:01,,,,,2.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,18,MFV 03811,BLK:24 PLN:02 POS:05,248.00,
T64-B11,WT-169:S055,wood,don,11,BLK:24 PLN:02 POS:06,MFV 10321,247.8,2/3/2014 19:59,2/3/2014 22:20,2:21:18,,,,,247.80,T59-B11,WT-165:S058,galvin,jason,5,BLK:24 PLN:02 POS:06,MFV 10321,1.6,2/12/2014 15:09,2/12/2014 15:13,0:03:55,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,19,MFV 10321,BLK:24 PLN:02 POS:06,249.40,
T64-B11,WT-169:S055,wood,don,11,BLK:24 PLN:02 POS:07,MFV 10264,130,2/4/2014 0:47,2/4/2014 7:42,6:54:27,swap,T59-B11,WT-164:S053,119.5,249.50,T59-B11,WT-165:S058,galvin,jason,5,BLK:24 PLN:02 POS:07,MFV 10264,2.5,2/12/2014 13:40,2/12/2014 13:48,0:07:56,,,,,2.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,20,MFV 10264,BLK:24 PLN:02 POS:07,252.00,
T59-B11,WT-164:S053,Tommy ,Cole,11,BLK:24 PLN:02 POS:08,MFV 03089,252.2,2/4/2014 12:31,2/4/2014 14:05,1:34:48,,,,,252.20,T59-B11,WT-165:S058,galvin,jason,5,BLK:24 PLN:02 POS:08,MFV 03089,1,2/12/2014 11:38,2/12/2014 11:40,0:02:19,,,,,1.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,21,MFV 03089,BLK:24 PLN:02 POS:08,253.20,
T59-B11,WT-164:S053,Tommy ,Cole,11,BLK:24 PLN:02 POS:09,MFV 03080,70.2,2/4/2014 14:42,2/4/2014 19:00,4:17:12,Swap,T64-B11,WT-163:S057,181.7,251.90,T59-B11,WT-165:S058,galvin,jason,10,BLK:24 PLN:02 POS:09,MFV 03080,1.6,2/12/2014 10:10,2/12/2014 10:15,0:04:46,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,22,MFV 03080,BLK:24 PLN:02 POS:09,253.50,
T64-B11,WT-163:S057,wood,don,11,BLK:24 PLN:02 POS:10,MFV 03086,249.3,2/4/2014 21:40,2/5/2014 0:18,2:38:27,,,,,249.30,T59-B11,WT-165:S058,galvin,jason,10,BLK:24 PLN:02 POS:10,MFV 03086,1.9,2/12/2014 8:15,2/12/2014 8:19,0:04:30,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,23,MFV 03086,BLK:24 PLN:02 POS:10,251.20,
T59-B11,WT-166:S059,galvin,tommy,11,BLK:24 PLN:02 POS:11,MFV 00010,250,2/5/2014 7:26,2/5/2014 10:08,2:41:11,,,,,250.00,T59-B11,WT-165:S058,galvin,jason,10,BLK:24 PLN:02 POS:11,MFV 00010,1.1,2/12/2014 7:28,2/12/2014 7:32,0:04:29,,,,,1.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,24,MFV 00010,BLK:24 PLN:02 POS:11,251.10,
T64-B11,WT-165:S056,galvin,tommy,10,BLK:24 PLN:04 POS:00,MFV 02293,249.1,1/30/2014 21:09,1/30/2014 23:19,2:09:50,Longer fill times due to supply line extentions.,,,,249.10,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:04 POS:00,MFV 02293,2.4,2/13/2014 3:09,2/13/2014 3:14,0:05:02,,,,,2.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,25,MFV 02293,BLK:24 PLN:04 POS:00,251.50,
T64-B11,WT-166:S058,galvin,tommy,10,BLK:24 PLN:04 POS:01, MFV 00013,246.8,1/31/2014 1:29,1/31/2014 7:23,5:53:44,,,,,246.80,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:04 POS:01, MFV 00013,4.8,2/13/2014 1:59,2/13/2014 2:09,0:10:08,,,,,4.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,26, MFV 00013,BLK:24 PLN:04 POS:01,251.60,
T64-B11,WT-168:S030,jason,larry,10,BLK:24 PLN:04 POS:02,MFV 00900,246.4,1/31/2014 12:11,1/31/2014 15:25,3:14:29,had to stop due to temp,,,,246.40,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:04 POS:02,MFV 00900,3,2/12/2014 23:38,2/12/2014 23:47,0:08:13,,,,,3.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,27,MFV 00900,BLK:24 PLN:04 POS:02,249.40,
