#   W       w(lab)    sigT     sigL     sigLT   sigLT'   sigTT'   sigL0    sigLT0  sigLT0'
# (MeV)     (MeV)     (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)
 1665.0   1008.2     54.24      .00      .00      .00    29.44    28.49     7.78    -4.95
 1670.0   1017.1     52.45      .00      .00      .00    28.88    27.67     7.70    -4.46
 1675.0   1026.0     50.29      .00      .00      .00    27.98    26.86     7.58    -3.98
 1680.0   1034.9     47.85      .00      .00      .00    26.83    26.10     7.41    -3.51
 1685.0   1043.9     45.25      .00      .00      .00    25.51    25.42     7.20    -3.07
 1690.0   1052.9     42.57      .00      .00      .00    24.10    24.84     6.96    -2.65
 1695.0   1061.9     39.90      .00      .00      .00    22.68    24.36     6.69    -2.28
 1700.0   1070.9     37.31      .00      .00      .00    21.29    23.99     6.39    -1.96
 1705.0   1080.0     34.85      .00      .00      .00    19.99    23.73     6.07    -1.68
 1710.0   1089.1     32.57      .00      .00      .00    18.79    23.55     5.75    -1.45
 1715.0   1098.2     30.48      .00      .00      .00    17.69    23.46     5.43    -1.27
 1720.0   1107.4     28.59      .00      .00      .00    16.70    23.42     5.12    -1.13
 1725.0   1116.6     26.89      .00      .00      .00    15.80    23.44     4.81    -1.02
 1730.0   1125.8     25.38      .00      .00      .00    14.99    23.49     4.52     -.94
 1735.0   1135.0     24.04      .00      .00      .00    14.26    23.57     4.24     -.88
 1740.0   1144.3     22.86      .00      .00      .00    13.62    23.67     3.98     -.85
 1745.0   1153.5     21.82      .00      .00      .00    13.03    23.77     3.73     -.83
 1750.0   1162.9     20.90      .00      .00      .00    12.50    23.88     3.49     -.82
 1755.0   1172.2     20.09      .00      .00      .00    12.04    23.98     3.26     -.82
 1760.0   1181.6     19.38      .00      .00      .00    11.62    24.07     3.04     -.83
 1765.0   1190.9     18.75      .00      .00      .00    11.24    24.16     2.83     -.84
 1770.0   1200.4     18.19      .00      .00      .00    10.89    24.24     2.63     -.86
 1775.0   1209.8     17.69      .00      .00      .00    10.57    24.30     2.43     -.89
 1780.0   1219.3     17.25      .00      .00      .00    10.27    24.34     2.25     -.91
 1785.0   1228.8     16.86      .00      .00      .00     9.99    24.38     2.07     -.94
 1790.0   1238.3     16.50      .00      .00      .00     9.72    24.40     1.90     -.97
 1795.0   1247.9     16.18      .00      .00      .00     9.47    24.42     1.73    -1.00
 1800.0   1257.4     15.89      .00      .00      .00     9.24    24.43     1.57    -1.03
 1805.0   1267.0     15.62      .00      .00      .00     9.01    24.43     1.42    -1.06
 1810.0   1276.7     15.38      .00      .00      .00     8.78    24.43     1.27    -1.10
 1815.0   1286.3     15.15      .00      .00      .00     8.56    24.42     1.13    -1.13
 1820.0   1296.0     14.94      .00      .00      .00     8.35    24.41     1.00    -1.16
 1825.0   1305.7     14.75      .00      .00      .00     8.14    24.40      .87    -1.20
 1830.0   1315.5     14.58      .00      .00      .00     7.95    24.39      .75    -1.23
 1835.0   1325.2     14.41      .00      .00      .00     7.75    24.38      .64    -1.26
 1840.0   1335.0     14.25      .00      .00      .00     7.56    24.38      .53    -1.30
 1845.0   1344.8     14.09      .00      .00      .00     7.37    24.37      .44    -1.34
 1850.0   1354.7     13.94      .00      .00      .00     7.19    24.36      .34    -1.37
 1855.0   1364.6     13.79      .00      .00      .00     7.01    24.35      .26    -1.41
 1860.0   1374.5     13.65      .00      .00      .00     6.84    24.35      .18    -1.45
 1865.0   1384.4     13.51      .00      .00      .00     6.67    24.35      .10    -1.49
 1870.0   1394.3     13.37      .00      .00      .00     6.49    24.35      .03    -1.54
 1875.0   1404.3     13.22      .00      .00      .00     6.33    24.36     -.03    -1.58
 1880.0   1414.3     13.08      .00      .00      .00     6.17    24.37     -.08    -1.63
 1885.0   1424.4     12.92      .00      .00      .00     6.01    24.38     -.14    -1.68
 1890.0   1434.4     12.76      .00      .00      .00     5.85    24.40     -.18    -1.72
 1895.0   1444.5     12.60      .00      .00      .00     5.69    24.41     -.22    -1.77
 1900.0   1454.6     12.42      .00      .00      .00     5.54    24.43     -.26    -1.82
 1905.0   1464.8     12.25      .00      .00      .00     5.39    24.45     -.29    -1.86
 1910.0   1474.9     12.08      .00      .00      .00     5.26    24.48     -.32    -1.91
 1915.0   1485.1     11.90      .00      .00      .00     5.13    24.52     -.34    -1.95
 1920.0   1495.3     11.71      .00      .00      .00     5.00    24.54     -.36    -1.99
 1925.0   1505.6     11.53      .00      .00      .00     4.87    24.57     -.38    -2.03
 1930.0   1515.8     11.33      .00      .00      .00     4.75    24.61     -.40    -2.08
 1935.0   1526.1     11.13      .00      .00      .00     4.64    24.64     -.42    -2.11
 1940.0   1536.5     10.94      .00      .00      .00     4.53    24.68     -.43    -2.15
 1945.0   1546.8     10.76      .00      .00      .00     4.43    24.71     -.45    -2.19
 1950.0   1557.2     10.57      .00      .00      .00     4.33    24.75     -.46    -2.22
 1955.0   1567.6     10.39      .00      .00      .00     4.24    24.78     -.47    -2.26
 1960.0   1578.0     10.22      .00      .00      .00     4.16    24.82     -.48    -2.29
 1965.0   1588.5     10.06      .00      .00      .00     4.08    24.85     -.49    -2.32
 1970.0   1599.0      9.90      .00      .00      .00     4.00    24.89     -.50    -2.36
 1975.0   1609.5      9.75      .00      .00      .00     3.92    24.92     -.51    -2.39
 1980.0   1620.0      9.60      .00      .00      .00     3.85    24.95     -.52    -2.42
 1985.0   1630.6      9.46      .00      .00      .00     3.79    24.97     -.52    -2.44
 1990.0   1641.2      9.34      .00      .00      .00     3.72    25.01     -.52    -2.48
 1995.0   1651.8      9.24      .00      .00      .00     3.62    25.07     -.52    -2.55
 2000.0   1662.4      9.12      .00      .00      .00     3.60    25.06     -.52    -2.54
