Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T64-B08,WT-165:S040,wood,james,12,BLK:17 PLN:02 POS:04,MFV 08283,223.4,10/7/2013 15:05,10/7/2013 17:44,2:39:25,swap,T64-B08,WT-169:S040,18.4,241.80,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:02 POS:04,MFV 08283,3.4,10/17/2013 1:04,10/17/2013 1:09,0:04:17,,,,,3.40,T64-B13,WT163:S066,larry,brent,5,BLK:17 PLN:02 POS:04,MFV 08283,1.2,7/3/2014 9:38,7/3/2014 9:39,0:01:27,"1/4""",,,0.00,1.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 08283,BLK:17 PLN:02 POS:04,246.40,
T64-B08,WT-169:S040,daniel,jason,12,BLK:17 PLN:02 POS:05,MFV 08363,241.4,10/7/2013 19:39,10/7/2013 21:35,1:55:20,,,,,241.40,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:02 POS:05,MFV 08363,2.6,10/16/2013 22:52,10/16/2013 22:56,0:03:21,,,,,2.60,T64-B13,WT163:S066,larry,brent,1,BLK:17 PLN:02 POS:05,MFV 08363,1.8,7/3/2014 7:26,7/3/2014 7:32,0:06:24,"1 1/8""",,,0.00,1.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 08363,BLK:17 PLN:02 POS:05,245.80,
T64-B08,WT-169:S040,daniel,jason,12,BLK:17 PLN:02 POS:06,MFV 08331,48.1,10/8/2013 0:05,10/8/2013 2:11,2:05:59,swap,T64-B08,WT-164:S040,194.1,242.20,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:02 POS:06,MFV 08331,1,10/16/2013 21:22,10/16/2013 21:25,0:02:38,,,,,1.00,T64-B13,WT163:S066,Larry,Brent,5,BLK:17 PLN:02 POS:06,MFV 08331,3.2,7/2/2014 12:44,7/2/2014 12:56,0:11:50,"`1 7/8""",,,0.00,3.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 08331,BLK:17 PLN:02 POS:06,246.40,
T64-B08,WT-164:S040,Wood,James,12,BLK:17 PLN:02 POS:07,MFV 08365,245.8,10/8/2013 8:03,10/8/2013 10:04,2:01:00,,,,,245.80,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:02 POS:07,MFV 08365,2.4,10/16/2013 20:30,10/16/2013 20:33,0:03:06,,,,,2.40,T64-B13,WT163:S066,Larry,Brent,1,BLK:17 PLN:02 POS:07,MFV 08365,1.8,7/2/2014 10:07,7/2/2014 10:14,0:07:11,"1""",,,0.00,1.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 08365,BLK:17 PLN:02 POS:07,250.00,
T59-B08,WT-166:S044,Galvin,Blackmer,12,BLK:17 PLN:02 POS:08,MFV 08338,244.3,10/8/2013 13:23,,,,,,,244.30,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:02 POS:08,MFV 08338,2,10/16/2013 18:44,10/16/2013 18:47,0:03:01,,,,,2.00,T64-B13,WT163:S066,Larry,Brent,,BLK:17 PLN:02 POS:08,MFV 08338,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 08338,BLK:17 PLN:02 POS:08,246.30,
T59-B08,WT-166:S044,daniel,jason,12,BLK:17 PLN:02 POS:09,MFV 08345,244.3,10/8/2013 18:08,10/8/2013 20:06,1:58:04,move to LL1 and set up (15 minutes),,,,244.30,T59-B08,WT-166:S045,daniel,jason,10,BLK:17 PLN:02 POS:09,MFV 08345,4.4,10/16/2013 16:38,10/16/2013 16:43,0:05:12,,,,,4.40,T64-B13,WT163:S066,Larry,Brent,5,BLK:17 PLN:02 POS:09,MFV 08345,1.3,7/1/2014 12:14,7/1/2014 12:20,0:05:20,"9/16""",,,0.00,1.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 08345,BLK:17 PLN:02 POS:09,250.00,
T64-B08,WT-168:S017,daniel,jason,12,BLK:17 PLN:02 POS:10,MFV 08333,244.9,10/8/2013 22:16,10/9/2013 0:25,2:08:53,,,,,244.90,T59-B08,WT-166:S045,daniel,jason,10,BLK:17 PLN:02 POS:10,MFV 08333,4,10/16/2013 15:56,10/16/2013 16:01,0:05:34,,,,,4.00,T64-B13,WT163:S066,Larry,Brent,1,BLK:17 PLN:02 POS:10,MFV 08333,2.7,7/1/2014 7:59,7/1/2014 8:10,0:10:33,"3/4""",,,0.00,2.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 08333,BLK:17 PLN:02 POS:10,251.60,
T64-B08,WT-168:S017,daniel,jason,12,BLK:17 PLN:02 POS:11,MFV 08357,72.4,10/9/2013 2:32,10/9/2013 8:29,5:57:51,swap,T59-B08,WT-163:S042,167.7,240.10,T59-B08,WT-166:S045,daniel,jason,10,BLK:17 PLN:02 POS:11,MFV 08357,3.4,10/16/2013 15:00,10/16/2013 15:04,0:04:37,,,,,3.40,T64-B13,WT163:S066,Cole,John,5,BLK:17 PLN:02 POS:11,MFV 08357,2.2,6/30/2014 11:11,6/30/2014 11:26,0:15:11,"1 1/2""",,,0.00,2.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 08357,BLK:17 PLN:02 POS:11,245.70,
T64-B08,WT-166:S043,james,larry,11,BLK:17 PLN:04 POS:00,MFV 08342,242.5,10/4/2013 10:24,10/4/2013 12:05,1:40:42,,,,,242.50,T59-B08,WT-166:S045,daniel,jason,11,BLK:17 PLN:04 POS:00,MFV 08342,2.3,10/17/2013 9:56,10/17/2013 9:59,0:02:15,,,,,2.30,T64-B13,WT163:S066,larry,brent,,BLK:17 PLN:04 POS:00,MFV 08342,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 08342,BLK:17 PLN:04 POS:00,244.80,
T64-B08,WT-116:S041,james,larry,11,BLK:17 PLN:04 POS:01,MFV 08359,239,10/4/2013 14:12,10/4/2013 15:53,1:40:48,,,,,239.00,T59-B08,WT-166:S045,daniel,jason,11,BLK:17 PLN:04 POS:01,MFV 08359,8.1,10/17/2013 8:05,10/17/2013 8:12,0:07:25,,,,,8.10,T64-B13,WT163:S066,larry,brent,,BLK:17 PLN:04 POS:01,MFV 08359,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 08359,BLK:17 PLN:04 POS:01,247.10,
