Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,,
T64-B11,WT-116:SO54,galvin,tommy,11,BLK:23 PLN:02 POS:07,MFV 10032,231.4,1/16/2014 17:34,1/16/2014 19:26,1:51:39,FULL,,,,231.40,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:02 POS:07,MFV 10032,0.5,1/30/2014 8:30,1/30/2014 8:32,0:01:59,,,,,0.50,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:02 POS:07,MFV 10032,4.4,7/25/2014 7:42,7/25/2014 8:02,0:20:23,"1 1/4""",,,0.00,4.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 10032,BLK:23 PLN:02 POS:07,236.30,,
T64-B11,WT-116:SO54,galvin,tommy,11,BLK:23 PLN:02 POS:08,MFV 10099,233.3,1/16/2014 21:30,1/21/2014 10:59,109:29:31,swap stopped filling at 11:45 pm. No oil.,T64-B11,WT-169:SO53,0,233.30,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:02 POS:08,MFV 10099,0.6,1/30/2014 7:22,1/30/2014 7:25,0:02:38,delay 30 min for setup on LL2,,,,0.60,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:02 POS:08,MFV 10099,4.4,7/24/2014 7:35,7/24/2014 7:55,0:20:34,"2""",,,0.00,4.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 10099,BLK:23 PLN:02 POS:08,238.30,,
T64-B11,WT-169:SO53,larry,don,11,BLK:23 PLN:02 POS:09,MFV 10082,236.8,1/21/2014 14:44,1/21/2014 17:41,2:57:06,one hr to move to LL1,,,,236.80,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:02 POS:09,MFV 10082,0.6,1/30/2014 2:11,1/30/2014 2:15,0:03:23,,,,,0.60,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:02 POS:09,MFV 10082,4,7/23/2014 12:39,7/23/2014 12:55,0:16:01,"1 7/8""",,,0.00,4.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 10082,BLK:23 PLN:02 POS:09,241.40,,
T64-B11,WT-169:SO53,galvin,cole,11,BLK:23 PLN:02 POS:10,MFV 10137,90.9,1/21/2014 20:06,1/21/2014 22:20,2:14:31,SWAP,T-64-B11,WT-165:S055,149.8,240.70,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:02 POS:10,MFV 10137,0.8,1/30/2014 0:53,1/30/2014 0:58,0:04:35,,,,,0.80,T64-B13,WT169:S064,Jay/John,Cole,5,BLK:23 PLN:02 POS:10,MFV 10137,3.1,7/21/2014 16:10,7/21/2014 16:24,0:13:09,1 inch,,,0.00,3.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 10137,BLK:23 PLN:02 POS:10,244.60,,
T-64-B11,WT-165:S055,galvin,cole,11,BLK:23 PLN:02 POS:11,MFV 01011,244.3,1/22/2014 0:27,1/22/2014 2:38,2:11:05,,,,,244.30,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:02 POS:11,MFV 01011,1.8,1/30/2014 0:03,1/30/2014 0:09,0:05:51,,,,,1.80,T64-B13,WT169:S064,Jay/John,Cole,1,BLK:23 PLN:02 POS:11,MFV 01011,2.6,7/21/2014 13:47,7/21/2014 13:58,0:11:30,"1 1/4""",,,0.00,2.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 01011,BLK:23 PLN:02 POS:11,248.70,,
T059-B10,WT-163:S054,galvin,tommy,11,BLK:23 PLN:04 POS:00,MFV 03117,250.3,1/14/2014 18:41,1/14/2014 20:28,1:46:26,,,,,250.30,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:04 POS:00,MFV 03117,2.7,1/30/2014 19:10,1/30/2014 19:16,0:06:37,,,,,2.70,T64-B13,WT169:S064,Larry,Cole,9,BLK:23 PLN:04 POS:00,MFV 03117,0.4,7/29/2014 12:32,7/29/2014 12:36,0:04:25,"1/16""",,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 03117,BLK:23 PLN:04 POS:00,253.40,,
T059-B10,WT-163:S054,galvin,tommy,11,BLK:23 PLN:04 POS:01,MFV 01003,122.2,1/14/2014 22:16,1/15/2014 0:24,2:08:30,swap 20min.,T64-B11,WT-166:S056,127.2,249.40,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:04 POS:01,MFV 01003,2.3,1/30/2014 18:02,1/30/2014 18:08,0:06:41,,,,,2.30,T64-B13,WT169:S064,Larry,Cole,9,BLK:23 PLN:04 POS:01,MFV 01003,0.9,7/29/2014 9:41,7/29/2014 9:46,0:04:42,"1/2""",,,0.00,0.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 01003,BLK:23 PLN:04 POS:01,252.60,,
T64-B11,WT-166:S056,don ,larry,10,BLK:23 PLN:04 POS:02,MFV 10075,237.5,1/15/2014 7:30,1/15/2014 9:24,1:54:31,,,,,237.50,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:04 POS:02,MFV 10075,2.1,1/30/2014 15:45,1/30/2014 15:50,0:05:15,,,,,2.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,27,MFV 10075,BLK:23 PLN:04 POS:02,239.60,,
T59-B10,WT-168:S028,don ,larry,10,BLK:23 PLN:04 POS:03,MFV 00502,247.3,1/15/2014 11:55,1/15/2014 13:42,1:47:02,,,,,247.30,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:04 POS:03,MFV 00502,1.2,1/30/2014 14:29,1/30/2014 14:31,0:02:25,delay 30 min unable to find bluetooth,,,,1.20,T64-B13,WT169:S064,Ron/Perko,Cole,5,BLK:23 PLN:04 POS:03,MFV 00502,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,28,MFV 00502,BLK:23 PLN:04 POS:03,248.50,,
T59-B10,WT-168:S028,don ,larry,10,BLK:23 PLN:04 POS:04,MFV 01002,242.6,1/15/2014 15:35,1/15/2014 18:21,2:45:46,,,,,242.60,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:04 POS:04,MFV 01002,2.1,1/30/2014 13:23,1/30/2014 13:27,0:04:08,,,,,2.10,T64-B13,WT169:S064,Larry,Trina,9,BLK:23 PLN:04 POS:04,MFV 01002,0.6,7/29/2014 16:00,7/29/2014 16:05,0:04:28,"1/16""",,,0.00,0.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,29,MFV 01002,BLK:23 PLN:04 POS:04,245.30,,
T64-B11,WT-165:S056,galvin,cole,10,BLK:23 PLN:04 POS:05,MFV 00099,245.7,1/15/2014 22:01,1/15/2014 23:51,1:49:59,,,,,245.70,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:04 POS:05,MFV 00099,4.6,1/30/2014 11:40,1/30/2014 11:48,0:08:30,delay 45 min setup on LL3,,,,4.60,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:04 POS:05,MFV 00099,1,7/25/2014 13:50,7/25/2014 13:58,0:07:14,"1/4""",,,0.00,1.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,30,MFV 00099,BLK:23 PLN:04 POS:05,251.30,,
T64-B11,WT-116:SO54,galvin,cole,10,BLK:23 PLN:04 POS:06,MFV 10048,107,1/16/2014 2:55,1/16/2014 17:39,14:44:39,swap,T64-B11,WT-165:S056,136.3,243.30,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:04 POS:06,MFV 10048,2.4,1/30/2014 10:06,1/30/2014 10:11,0:04:52,,,,,2.40,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:04 POS:06,MFV 10048,1.4,7/25/2014 12:22,7/25/2014 12:33,0:11:48,"3/8""",,,0.00,1.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,31,MFV 10048,BLK:23 PLN:04 POS:06,247.10,,
T64-B11,WT-116:SO54,galvin,tommy,10,BLK:23 PLN:04 POS:07,MFV 10039,237.2,1/16/2014 19:47,1/16/2014 21:47,1:59:36,,,,,237.20,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:04 POS:07,MFV 10039,0.7,1/30/2014 8:32,1/30/2014 8:35,0:02:52,,,,,0.70,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:04 POS:07,MFV 10039,3.1,7/25/2014 7:59,7/25/2014 8:20,0:20:24,"3/4""",,,0.00,3.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,32,MFV 10039,BLK:23 PLN:04 POS:07,241.00,,
T64-B11,WT-169:SO53,larry,don,10,BLK:23 PLN:04 POS:08,MFV 10062,238.4,1/21/2014 11:05,1/21/2014 13:18,2:12:50,15 min delay for warm oil,,,,238.40,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:04 POS:08,MFV 10062,1.6,1/30/2014 7:25,1/30/2014 7:31,0:05:44,delay 30 min for setup on LL2,,,,1.60,T64-B13,WT169:S064,Larry,Brent,1,BLK:23 PLN:04 POS:08,MFV 10062,3,7/24/2014 7:19,7/24/2014 7:33,0:14:17,"1""",,,0.00,3.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,33,MFV 10062,BLK:23 PLN:04 POS:08,243.00,,
