Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T64-B07,WT-165:S034,daniel,tommy,12,BLK:14 PLN:02 POS:06,MFV 07154,244.8,8/28/2013 7:10,8/28/2013 9:04,1:53:30,,,,,244.80,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:02 POS:06,MFV 07154,4.2,9/9/2013 15:58,9/9/2013 16:07,0:08:12,,,,,4.20,T64-B13,WT163:S066,Larry,Brent,,BLK:14 PLN:02 POS:06,MFV 07154,0,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,19,MFV 07154,BLK:14 PLN:02 POS:06,249.00,
T64-B07,WT-165:S034,daniel,tommy,12,BLK:14 PLN:02 POS:07,MFV 07183,247,8/28/2013 11:01,8/28/2013 13:02,2:01:15,,,,,247.00,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:02 POS:07,MFV 07183,3.2,9/9/2013 14:48,9/9/2013 14:53,0:05:24,,,,,3.20,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:07,MFV 07183,2.2,6/26/2014 9:08,6/26/2014 9:16,0:07:56,"1/2""",,,0.00,2.20,,,,,,,,0.00,,,,,,,0.00,0.00,,20,MFV 07183,BLK:14 PLN:02 POS:07,252.40,
T64-B07,WT-169:S034,daniel,tommy,12,BLK:14 PLN:02 POS:08,MFV 07184,238.1,8/28/2013 15:13,8/28/2013 17:35,2:21:20,,,,,238.10,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:02 POS:08,MFV 07184,1.8,9/9/2013 12:50,9/9/2013 12:54,0:03:38,,,,,1.80,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:08,MFV 07184,4.9,6/25/2014 15:50,6/25/2014 16:07,0:16:39,"2""",,,0.00,4.90,,,,,,,,0.00,,,,,,,0.00,0.00,,21,MFV 07184,BLK:14 PLN:02 POS:08,244.80,
T64-B07,WT-116:S036,wood,blackmer,12,BLK:14 PLN:02 POS:09,MFV 07186,131.1,8/28/2013 21:07,8/28/2013 23:53,2:45:58,swap,T64-B07,WT-116:S036,119,250.10,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:02 POS:09,MFV 07186,2.3,9/9/2013 10:29,9/9/2013 10:34,0:05:18,,,,,2.30,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:09,MFV 07186,4.5,6/25/2014 12:27,6/25/2014 12:44,0:17:07,"1 3/4""",,,0.00,4.50,,,,,,,,0.00,,,,,,,0.00,0.00,,22,MFV 07186,BLK:14 PLN:02 POS:09,256.90,
T64-B07,WT-116:S036,wood,blackmer,12,BLK:14 PLN:02 POS:10,MFV 07201,241,8/29/2013 1:59,8/29/2013 8:00,6:00:54,,,,,241.00,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:02 POS:10,MFV 07201,1.2,9/9/2013 9:20,9/9/2013 9:34,0:14:10,,,,,1.20,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:10,MFV 07201,3.9,6/25/2014 9:02,6/25/2014 9:16,0:13:49,"1` 1/4""",,,0.00,3.90,,,,,,,,0.00,,,,,,,0.00,0.00,,23,MFV 07201,BLK:14 PLN:02 POS:10,246.10,
T64-B07,WT-168:S034,jason ,gary,12,BLK:14 PLN:02 POS:11,MFV 07218,243.1,8/29/2013 12:00,8/29/2013 14:15,2:14:24,,,,,243.10,T64-B07,WT-166:S038,daniel,jason,4,BLK:14 PLN:02 POS:11,MFV 07218,0.8,9/9/2013 7:32,9/9/2013 7:34,0:02:07,,,,,0.80,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:02 POS:11,MFV 07218,4.8,6/24/2014 14:04,6/24/2014 14:22,0:17:36,"1/2""",,,0.00,4.80,,,,,,,,0.00,,,,,,,0.00,0.00,,24,MFV 07218,BLK:14 PLN:02 POS:11,248.70,
T64-B07,WT-168:S008,wood,james,8,BLK:14 PLN:04 POS:00,MFV 07129,203.7,8/26/2013 23:23,8/27/2013 1:25,2:02:07,swap,T64-B07,WT-163:S035,37.4,241.10,T64-B07,WT-166:S038,wood,james,10,BLK:14 PLN:04 POS:00,MFV 07129,2.8,9/10/2013 1:37,9/10/2013 1:42,0:05:09,,,,,2.80,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:04 POS:00,MFV 07129,2.7,6/24/2014 10:27,6/24/2014 10:39,0:11:44,"1 1/8""",,,0.00,2.70,,,,,,,,0.00,,,,,,,0.00,0.00,,25,MFV 07129,BLK:14 PLN:04 POS:00,246.60,
T64-B07,WT-163:S035,daniel,tommy,8,BLK:14 PLN:04 POS:01,MFV 07130,246,8/27/2013 7:34,8/27/2013 9:17,1:42:58,,,,,246.00,T64-B07,WT-166:S038,wood,james,10,BLK:14 PLN:04 POS:01,MFV 07130,3.6,9/9/2013 23:55,9/10/2013 0:02,0:07:06,,,,,3.60,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:04 POS:01,MFV 07130,6,6/24/2014 12:32,6/24/2014 12:50,0:17:26,"3""",,,0.00,6.00,,,,,,,,0.00,,,,,,,0.00,0.00,,26,MFV 07130,BLK:14 PLN:04 POS:01,255.60,
T64-B07,WT-166:S036,daniel,tommy,10,BLK:14 PLN:04 POS:02,MFV 07126,246,8/27/2013 13:00,8/27/2013 14:39,1:38:42,,,,,246.00,T64-B07,WT-166:S038,wood,james,10,BLK:14 PLN:04 POS:02,MFV 07126,0.9,9/9/2013 23:02,9/9/2013 23:05,0:02:32,,,,,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,27,MFV 07126,BLK:14 PLN:04 POS:02,246.90,
T64-B07,WT-166:S036,daniel,tommy,10,BLK:14 PLN:04 POS:03,MFV 07151,241.1,8/27/2013 16:28,8/27/2013 18:39,2:11:10,,,,,241.10,T64-B07,WT-166:S038,wood,james,4,BLK:14 PLN:04 POS:03,MFV 07151,3.3,9/9/2013 20:55,9/9/2013 20:55,0:00:16,,,,,3.30,T64-B13,WT163:S066,Larry,Brent,1,BLK:14 PLN:04 POS:03,MFV 07151,3.1,6/27/2014 11:16,6/27/2014 11:29,0:12:27,"1""",,,0.00,3.10,,,,,,,,0.00,,,,,,,0.00,0.00,,28,MFV 07151,BLK:14 PLN:04 POS:03,247.50,
