Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T059-B09,WT-163:S049,daniel,jason,4,BLK:20 PLN:07 POS:02,MFV 06031,249.7,11/20/2013 20:35,11/20/2013 22:55,2:20:13,,,,,249.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,39,MFV 06031,BLK:20 PLN:07 POS:02,249.70
T059-B09,WT-163:S049,daniel,jason,4,BLK:20 PLN:07 POS:03,MFV 09275,102.4,11/20/2013 22:55,11/21/2013 1:22,2:27:04,swap,T059-B09,WT-116:S048,148,250.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,40,MFV 09275,BLK:20 PLN:07 POS:03,250.40
T059-B09,WT-163:S049,daniel,jason,5,BLK:20 PLN:07 POS:04,MFV 09305,250.2,11/20/2013 20:33,11/20/2013 22:55,2:21:42,,,,,250.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,41,MFV 09305,BLK:20 PLN:07 POS:04,250.20
T059-B09,WT-163:S049,daniel,jason,5,BLK:20 PLN:07 POS:05,MFV 09221,105.7,11/20/2013 22:55,11/21/2013 1:22,2:27:06,swap,T059-B09,WT-116:S048,144.1,249.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,42,MFV 09221,BLK:20 PLN:07 POS:05,249.80
T059-B09,WT-163:S049,daniel,jason,7,BLK:20 PLN:07 POS:06,MFV 09311,250,11/20/2013 20:27,11/20/2013 22:45,2:17:56,,,,,250.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,43,MFV 09311,BLK:20 PLN:07 POS:06,250.00
T059-B09,WT-163:S049,daniel,jason,7,BLK:20 PLN:07 POS:07,MFV 05956,117.3,11/20/2013 22:45,11/21/2013 1:16,2:30:47,swap,T059-B09,WT-116:S048,132.5,249.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,44,MFV 05956,BLK:20 PLN:07 POS:07,249.80
T059-B09,WT-163:S049,daniel,jason,8,BLK:20 PLN:07 POS:08,MFV 01081,250.1,11/20/2013 20:27,11/20/2013 22:45,2:18:33,,,,,250.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,45,MFV 01081,BLK:20 PLN:07 POS:08,250.10
T059-B09,WT-163:S049,daniel,jason,8,BLK:20 PLN:07 POS:09,MFV 01036,123.5,11/20/2013 22:45,11/21/2013 1:16,2:30:50,swap,T059-B09,WT-116:S048,129.1,252.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,46,MFV 01036,BLK:20 PLN:07 POS:09,252.60
T059-B09,WT-163:S049,daniel,jason,9,BLK:20 PLN:07 POS:10,MFV 01190,251.2,11/20/2013 20:27,11/20/2013 22:45,2:18:36,,,,,251.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,47,MFV 01190,BLK:20 PLN:07 POS:10,251.20
T059-B09,WT-163:S049,daniel,jason,9,BLK:20 PLN:07 POS:11,MFV 09289,125.2,11/20/2013 22:45,11/21/2013 1:16,2:30:56,swap,T059-B09,WT-116:S048,125.6,250.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,48,MFV 09289,BLK:20 PLN:07 POS:11,250.80
