Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comment,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comment,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Comments,Fill 2: 3rd Tanker Batch,Fill 2: 3rd Tanker,Fill 2: Amount from 3rd Tanker (gal),Comments,Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T64-B12,WT-166:S062,wood,don,10,BLK:26 PLN:10 POS:01,MFV 06591,28.4,3/3/2014 15:22,3/4/2014 8:02,16:39:28,swap hot oil delay ,T64-B12,WT-116:S060,216.2,,,,,,244.6,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:10 POS:01,MFV 06591,1.3,3/27/2014 15:37,3/27/2014 15:43,0:06:24,,,,,,,,,,1.3,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:10 POS:01,MFV 06591,1.2,8/7/2014 9:41,8/7/2014 9:51,0:09:24,"3/4""",,,0.00,1.20,,,,,,,,0.00,,,,,,,0.00,0.00,,22,MFV 06591,BLK:26 PLN:10 POS:01,247.10,
T64-B12,WT-166:S062,wood,don,11,BLK:26 PLN:06 POS:01,MFV 10732,28.6,3/3/2014 15:23,3/4/2014 7:53,16:30:25,swap hot oil delay ,T64-B12,WT-116:S060,207.5,,,,,,236.1,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:06 POS:01,MFV 10732,2.5,3/27/2014 15:46,3/27/2014 15:51,0:05:24,,,,,,,,,,2.5,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:06 POS:01,MFV 10732,2.6,8/7/2014 9:11,8/7/2014 9:29,0:18:47,"1 1/8""",,,0.00,2.60,,,,,,,,0.00,,,,,,,0.00,0.00,,23,MFV 10732,BLK:26 PLN:06 POS:01,241.20,
T64-B12,WT-166:S062,wood,don,12,BLK:26 PLN:02 POS:01,MFV 10874,23.3,3/3/2014 15:26,3/4/2014 8:03,16:36:36,swap hot oil delay ,T64-B12,WT-116:S060,224.4,,,,,,247.7,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:02 POS:01,MFV 10874,2.4,3/27/2014 15:56,3/27/2014 16:02,0:06:11,,,,,,,,,,2.4,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,24,MFV 10874,BLK:26 PLN:02 POS:01,250.10,
T64-B12,WT-116:S060,wood,don,1,BLK:26 PLN:28 POS:01,MFV 10568,207.1,3/4/2014 8:09,3/4/2014 10:05,1:55:43,dipstick read full,,,,,,,,,207.1,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:28 POS:01,MFV 10568,1.3,3/27/2014 15:35,3/27/2014 15:40,0:04:45,,,,,,,,,,1.3,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:28 POS:01,MFV 10568,1.6,8/7/2014 12:17,8/7/2014 12:27,0:09:28,"3/4""",,,0.00,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,25,MFV 10568,BLK:26 PLN:28 POS:01,210.00,
T64-B12,WT-116:S060,wood,don,3,BLK:26 PLN:24 POS:01,MFV 10625,242.8,3/4/2014 8:14,3/4/2014 10:04,1:50:35,,,,,,,,,,242.8,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:24 POS:01,MFV 10625,2.4,3/27/2014 15:48,3/27/2014 15:53,0:05:24,,,,,,,,,,2.4,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:24 POS:01,MFV 10625,1,8/7/2014 11:07,8/7/2014 11:15,0:08:31,"3/8""",,,0.00,1.00,,,,,,,,0.00,,,,,,,0.00,0.00,,26,MFV 10625,BLK:26 PLN:24 POS:01,246.20,
T64-B12,WT-116:S060,wood,don,5,BLK:26 PLN:20 POS:01,MFV 06588,246.4,3/4/2014 8:14,3/4/2014 10:03,1:49:31,,,,,,,,,,246.4,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:20 POS:01,MFV 06588,3.2,3/27/2014 16:00,3/27/2014 16:07,0:06:57,,,,,,,,,,3.2,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:20 POS:01,MFV 06588,1,8/7/2014 10:42,8/7/2014 10:55,0:13:31,"1/4""",,,0.00,1.00,,,,,,,,0.00,,,,,,,0.00,0.00,,27,MFV 06588,BLK:26 PLN:20 POS:01,250.60,
T64-B12,WT-116:S060,wood,don,4,BLK:26 PLN:16 POS:01,MFV 10702,238.2,3/4/2014 8:04,3/4/2014 9:44,1:40:08,,,,,,,,,,238.2,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:16 POS:01,MFV 10702,5,3/27/2014 16:17,3/27/2014 16:24,0:07:25,,,,,,,,,,5,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:16 POS:01,MFV 10702,1.3,8/7/2014 10:18,8/7/2014 10:32,0:13:17,"1/16""",,,0.00,1.30,,,,,,,,0.00,,,,,,,0.00,0.00,,28,MFV 10702,BLK:26 PLN:16 POS:01,244.50,
T64-B12,WT-116:S060,wood,don,8,BLK:26 PLN:12 POS:01,MFV 10729,241,3/4/2014 8:08,3/4/2014 9:54,1:45:44,,,,,,,,,,241,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:12 POS:01,MFV 10729,1.8,3/27/2014 15:32,3/27/2014 15:37,0:04:48,,,,,,,,,,1.8,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:12 POS:01,MFV 10729,1.5,8/7/2014 9:54,8/7/2014 10:07,0:12:43,"1/2""",,,0.00,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,29,MFV 10729,BLK:26 PLN:12 POS:01,244.30,
T64-B12,WT-116:S060,wood,don,10,BLK:26 PLN:08 POS:01,MFV 06543,240.9,3/4/2014 8:02,3/4/2014 9:48,1:45:25,,,,,,,,,,240.9,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:08 POS:01,MFV 06543,0.7,3/27/2014 15:43,3/27/2014 15:45,0:02:06,,,,,,,,,,0.7,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:08 POS:01,MFV 06543,2.3,8/7/2014 9:30,8/7/2014 9:41,0:10:46,"1""",,,0.00,2.30,,,,,,,,0.00,,,,,,,0.00,0.00,,30,MFV 06543,BLK:26 PLN:08 POS:01,243.90,
T64-B12,WT-116:S060,wood,don,11,BLK:26 PLN:04 POS:01,MFV 10906,255,3/4/2014 7:54,3/4/2014 9:52,1:58:16,,,,,,,,,,255,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:04 POS:01,MFV 10906,2.2,3/27/2014 15:51,3/27/2014 15:56,0:04:56,,,,,,,,,,2.2,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,31,MFV 10906,BLK:26 PLN:04 POS:01,257.20,
