Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T59-B04,WT-116:S021,daniel,jason,11,BLK:08 PLN:02 POS:04,MFV 05348,246.2,5/30/2013 0:43,5/30/2013 2:32,1:49:16,,,,,246.20,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:02 POS:04,MFV 05348,4.8,6/12/2013 7:59,6/12/2013 8:08,0:09:01,,,,,4.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 05348,BLK:08 PLN:02 POS:04,251.00,
T59-B04,WT-169:S021,james,wood,11,BLK:08 PLN:02 POS:05,MFV 05416,246.3,5/30/2013 13:22,5/30/2013 15:13,1:51:44,,,,,246.30,T59-B04,WT-169:S023,daniel,tommy,11,BLK:08 PLN:02 POS:05,MFV 05416,3.6,6/12/2013 2:49,6/12/2013 2:58,0:08:55,,,,,3.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 05416,BLK:08 PLN:02 POS:05,249.90,
T59-B04,WT-169:S021,daniel,jason,11,BLK:08 PLN:02 POS:06,MFV 05441,248.9,5/30/2013 18:35,5/30/2013 20:28,1:53:47,,,,,248.90,T59-B04,WT-169:S023,daniel,tommy,9,BLK:08 PLN:02 POS:06,MFV 05441,3.9,6/12/2013 1:32,6/12/2013 1:38,0:05:35,,,,,3.90,T64-B13,WT163:S066,Larry,Brent,,BLK:08 PLN:02 POS:06,MFV 05441,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 05441,BLK:08 PLN:02 POS:06,252.80,
T59-B04,WT-166:S023,daniel,jason,11,BLK:08 PLN:02 POS:07,MFV 05453,249.2,5/30/2013 22:48,5/31/2013 0:45,1:57:55,,,,,249.20,T59-B04,WT-169:S023,daniel,tommy,9,BLK:08 PLN:02 POS:07,MFV 05453,3.8,6/11/2013 23:52,6/11/2013 23:58,0:06:01,,,,,3.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:02 POS:07,MFV 05453,0.7,6/6/2014 7:05,6/6/2014 7:09,0:03:39,full,,,0.00,0.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 05453,BLK:08 PLN:02 POS:07,253.70,
T59-B04,WT-166:S023,daniel,jason,11,BLK:08 PLN:02 POS:08,MFV 05446,155.3,5/31/2013 2:43,6/3/2013 8:59,78:16:02,swap,T59-B04,WT-164:S021,93,248.30,T59-B04,WT-169:S023,daniel,tommy,9,BLK:08 PLN:02 POS:08,MFV 05446,4.2,6/11/2013 22:46,6/11/2013 22:52,0:06:16,,,,,4.20,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:02 POS:08,MFV 05446,0.8,6/5/2014 13:59,6/5/2014 14:03,0:03:24,"1/4""",,,0.00,0.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 05446,BLK:08 PLN:02 POS:08,253.30,
T59-B04,WT-164:S021,wood,james,11,BLK:08 PLN:02 POS:09,MFV 05413,251.6,6/3/2013 12:21,6/3/2013 14:27,2:05:36,,,,,251.60,T59-B04,WT-169:S023,daniel,tommy,11,BLK:08 PLN:02 POS:09,MFV 05413,2.3,6/11/2013 20:16,6/11/2013 20:19,0:03:48,,,,,2.30,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:02 POS:09,MFV 05413,0.8,6/5/2014 10:15,6/5/2014 10:20,0:05:02,"3/8""",,,0.00,0.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 05413,BLK:08 PLN:02 POS:09,254.70,
T59-B04,WT-164:S021,daniel,jason,11,BLK:08 PLN:02 POS:10,MFV 05452,248.7,6/3/2013 17:23,6/3/2013 19:34,2:11:50,,,,,248.70,T59-B04,WT-169:S023,daniel,tommy,11,BLK:08 PLN:02 POS:10,MFV 05452,4.1,6/11/2013 18:53,6/11/2013 18:59,0:05:36,,,,,4.10,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:02 POS:10,MFV 05452,0.8,6/5/2014 7:28,6/5/2014 7:31,0:03:23,"1/2""",,,0.00,0.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 05452,BLK:08 PLN:02 POS:10,253.60,
T59-B04,WT-164:S021,daniel,jason,11,BLK:08 PLN:02 POS:11,MFV 05443,248.9,6/3/2013 21:48,6/3/2013 23:50,2:01:43,,,,,248.90,T59-B04,WT-169:S023,daniel,tommy,11,BLK:08 PLN:02 POS:11,MFV 05443,3.4,6/11/2013 17:58,6/11/2013 18:02,0:03:30,,,,,3.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 05443,BLK:08 PLN:02 POS:11,252.30,
T64-B064,WT-164:S020,wood,james,10,BLK:08 PLN:04 POS:00,MFV 02787,245.4,5/29/2013 9:02,5/29/2013 10:48,1:45:33,,,,,245.40,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:04 POS:00,MFV 02787,5.4,6/12/2013 15:21,,,,,,,5.40,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:04 POS:00,MFV 02787,0.1,6/10/2014 7:37,6/10/2014 7:43,0:05:36,"1/8""",,,0.00,0.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 02787,BLK:08 PLN:04 POS:00,250.90,
T64-B064,WT-164:S020,wood,james,10,BLK:08 PLN:04 POS:01,MFV 05378,62.5,5/29/2013 12:36,5/29/2013 15:04,2:27:40,swap,T64-B04/T59-B04,WT-163:S022,182.8,245.30,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:04 POS:01,MFV 05378,5.7,6/12/2013 13:14,,,,,,,5.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 05378,BLK:08 PLN:04 POS:01,251.00,
T64-B04/T059-B04,WT-163:S022,daniel,jason,10,BLK:08 PLN:04 POS:02,MFV 05376,243.5,5/29/2013 18:50,5/29/2013 20:41,1:50:56,,,,,243.50,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:04 POS:02,MFV 05376,1.9,6/12/2013 11:10,6/12/2013 11:14,0:03:52,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,27,MFV 05376,BLK:08 PLN:04 POS:02,245.40,
T59-B04,WT-116:S021,daniel,jason,10,BLK:08 PLN:04 POS:03,MFV 05395,247.3,5/29/2013 22:54,5/30/2013 0:44,1:49:59,,,,,247.30,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:04 POS:03,MFV 05395,3.7,6/12/2013 9:57,6/12/2013 10:04,0:06:38,,,,,3.70,T64-B13,WT163:S066,John,Jay/Ron,9,BLK:08 PLN:04 POS:03,MFV 05395,2,6/9/2014 10:31,6/9/2014 10:40,0:09:32,"1 3/4""",,,0.00,2.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,28,MFV 05395,BLK:08 PLN:04 POS:03,253.00,
T59-B04,WT-116:S021,daniel,jason,10,BLK:08 PLN:04 POS:04,MFV 02614,227.7,5/30/2013 2:36,5/30/2013 13:24,10:47:35,swap,T59-B04,WT-169:S021,13.2,240.90,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:04 POS:04,MFV 02614,4.1,6/12/2013 8:09,6/12/2013 8:15,0:06:49,,,,,4.10,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:04 POS:04,MFV 02614,1.9,6/6/2014 16:03,6/6/2014 16:14,0:10:29,"1/2""",,,0.00,1.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,29,MFV 02614,BLK:08 PLN:04 POS:04,246.90,
T59-B04,WT-169:S021,james,wood,10,BLK:08 PLN:04 POS:05,MFV 02451,248.6,5/30/2013 15:19,5/30/2013 17:27,2:08:04,,,,,248.60,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:04 POS:05,MFV 02451,2.5,6/12/2013 6:52,6/12/2013 6:57,0:04:34,,,,,2.50,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:04 POS:05,MFV 02451,1.6,6/6/2014 13:43,6/6/2014 13:51,0:07:34,"1""",,,0.00,1.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,30,MFV 02451,BLK:08 PLN:04 POS:05,252.70,
