Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,daniel,jason,4,BLK:06 PLN:20 POS:04,MFV 04752,,4/30/2013 16:40,4/30/2013 19:02,2:22:08,,T59-B03,WT-169:S016,246.9,,,,,,246.90,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:20 POS:04,MFV 04752,3.6,5/13/2013 17:56,5/13/2013 18:03,0:07:37,,,,,3.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,75,MFV 04752,BLK:06 PLN:20 POS:04,250.50,
,,daniel,jason,5,BLK:06 PLN:16 POS:04,MFV 02101,,4/30/2013 16:29,4/30/2013 18:52,2:22:43,,T59-B03,WT-169:S016,253.1,,,,,,253.10,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:16 POS:04,MFV 02101,1.8,5/13/2013 17:43,5/13/2013 17:47,0:04:16,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,76,MFV 02101,BLK:06 PLN:16 POS:04,254.90,
,,daniel,jason,7,BLK:06 PLN:12 POS:04,MFV 02177,,4/30/2013 16:15,4/30/2013 18:42,2:27:27,,T59-B03,WT-169:S016,250.2,,,,,,250.20,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:12 POS:04,MFV 02177,1,5/13/2013 18:17,5/13/2013 18:19,0:01:08,,,,,1.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,77,MFV 02177,BLK:06 PLN:12 POS:04,251.20,
,,daniel,jason,10,BLK:06 PLN:08 POS:04,MFV 04793,,4/30/2013 16:29,4/30/2013 18:53,2:24:05,,T59-B03,WT-169:S016,249.3,,,,,,249.30,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:08 POS:04,MFV 04793,1.2,5/13/2013 18:04,5/13/2013 18:07,0:02:47,,,,,1.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,78,MFV 04793,BLK:06 PLN:08 POS:04,250.50,
,,daniel,jason,9,BLK:06 PLN:04 POS:04,MFV 02042,,4/30/2013 16:06,4/30/2013 18:34,2:28:09,,T59-B03,WT-169:S016,251,,,,,,251.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:04 POS:04,MFV 02042,1.8,5/13/2013 17:53,5/13/2013 17:58,0:04:31,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,79,MFV 02042,BLK:06 PLN:04 POS:04,252.80,
,,daniel,jason,11,BLK:06 PLN:00 POS:04,MFV 01462,,4/30/2013 15:52,4/30/2013 18:32,2:40:30,,T59-B03,WT-169:S016,250.6,,,,,,250.60,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:00 POS:04,MFV 01462,2.1,5/13/2013 17:43,5/13/2013 17:47,0:04:40,,,,,2.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,80,MFV 01462,BLK:06 PLN:00 POS:04,252.70,
T59:B03,WT-169-SO16,wood,james,2,BLK:06 PLN:30 POS:05,MFV 04629,180.00,4/30/2013 18:38,4/30/2013 21:24,2:45:37,tanker swap,T59-B03,WT-164 S016,65.4,,,,,,245.40,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:30 POS:05,MFV 04629,2.7,5/13/2013 17:24,5/13/2013 17:30,0:06:21,,,,,2.70,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:30 POS:05,MFV 04629,0.8,6/3/2014 16:23,6/3/2014 16:27,0:04:38,"1/4""",,,0.00,0.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,81,MFV 04629,BLK:06 PLN:30 POS:05,248.90,
T59:B03,WT-169-SO16,wood,james,3,BLK:06 PLN:26 POS:05,MFV 02264,143.00,4/30/2013 18:51,4/30/2013 21:39,2:47:42,tanker swap,T59-B03,WT-164 S016,105.2,,,,,,248.20,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:26 POS:05,MFV 02264,2.4,5/13/2013 16:46,5/13/2013 16:51,0:05:27,,,,,2.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,82,MFV 02264,BLK:06 PLN:26 POS:05,250.60,
T59:B03,WT-169-SO16,wood,james,4,BLK:06 PLN:22 POS:05,MFV 04701,117.20,4/30/2013 19:02,4/30/2013 21:50,2:48:03,tanker swap,T59-B03,WT-164 S016,129.3,,,,,,246.50,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:22 POS:05,MFV 04701,4.9,5/13/2013 16:31,5/13/2013 16:40,0:09:49,,,,,4.90,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:22 POS:05,MFV 04701,0.3,6/3/2014 16:11,6/3/2014 16:15,0:03:47,"1/2""",,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,83,MFV 04701,BLK:06 PLN:22 POS:05,251.70,
T59:B03,WT-169-SO16,wood,james,5,BLK:06 PLN:18 POS:05,MFV 02196,144.00,4/30/2013 18:52,4/30/2013 21:40,2:47:12,tanker swap,T59-B03,WT-164 S016,105.2,,,,,,249.20,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:18 POS:05,MFV 02196,1.6,5/13/2013 16:13,5/13/2013 16:18,0:05:14,,,,,1.60,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:18 POS:05,MFV 02196,0.3,6/3/2014 16:00,6/3/2014 16:10,0:10:52,"3/8""",,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,84,MFV 02196,BLK:06 PLN:18 POS:05,251.10,
T59:B03,WT-169-SO16,wood,james,7,BLK:06 PLN:14 POS:05,MFV 02768,171.30,4/30/2013 18:43,4/30/2013 21:35,2:52:38,tanker swap,T59-B03,WT-164 S016,77.9,,,,,,249.20,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:14 POS:05,MFV 02768,2.5,5/13/2013 16:46,5/13/2013 16:51,0:05:25,,,,,2.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,85,MFV 02768,BLK:06 PLN:14 POS:05,251.70,
T59:B03,WT-169-SO16,wood,james,10,BLK:06 PLN:08 POS:05,MFV 02767,145.60,4/30/2013 18:53,4/30/2013 21:34,2:40:42,had to fill this one out of sequence cause bill an larry are running another leak test on pln:10 and it past leak test,T59-B03,WT-164 S016,102,,,,,,247.60,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:08 POS:05,MFV 02767,3.4,5/13/2013 16:32,5/13/2013 16:38,0:06:32,,,,,3.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,86,MFV 02767,BLK:06 PLN:08 POS:05,251.00,
T59:B03,WT-169-SO16,wood,james,9,BLK:06 PLN:06 POS:05,MFV 02194,199.80,4/30/2013 18:34,4/30/2013 21:18,2:43:59,tanker swap,T59-B03,WT-164 S016,49.5,,,,,,249.30,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:06 POS:05,MFV 02194,2.6,5/13/2013 16:26,5/13/2013 16:31,0:05:50,,,,,2.60,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:06 POS:05,MFV 02194,0.3,6/3/2014 15:49,6/3/2014 15:53,0:04:31,full,,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,87,MFV 02194,BLK:06 PLN:06 POS:05,252.20,
T59:B03,WT-169-SO16,wood,james,11,BLK:06 PLN:02 POS:05,MFV 04842,202.80,4/30/2013 18:33,4/30/2013 21:18,2:44:47,tanker swap,T59-B03,WT-164 S016,46.7,,,,,,249.50,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:02 POS:05,MFV 04842,2.4,5/13/2013 16:12,5/13/2013 16:19,0:07:34,,,,,2.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,88,MFV 04842,BLK:06 PLN:02 POS:05,251.90,
,,wood,james,2,BLK:06 PLN:28 POS:05,MFV 04725,,4/30/2013 21:24,4/30/2013 23:24,1:59:57,,T59-B03,WT-164 S016,247.8,,,,,,247.80,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:28 POS:05,MFV 04725,1.2,5/13/2013 17:19,5/13/2013 17:23,0:04:08,,,,,1.20,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:28 POS:05,MFV 04725,0.9,6/3/2014 16:15,6/3/2014 16:22,0:06:44,"1/4""",,,0.00,0.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,89,MFV 04725,BLK:06 PLN:28 POS:05,249.90,
,,wood,james,3,BLK:06 PLN:24 POS:05,MFV 01801,,4/30/2013 21:39,4/30/2013 23:40,2:00:39,,T59-B03,WT-164 S016,249,,,,,,249.00,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:24 POS:05,MFV 01801,2.3,5/13/2013 16:41,5/13/2013 16:45,0:04:42,,,,,2.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,90,MFV 01801,BLK:06 PLN:24 POS:05,251.30,
,,wood,james,4,BLK:06 PLN:20 POS:05,MFV 02200,,4/30/2013 21:51,4/30/2013 23:42,1:51:39,,T59-B03,WT-164 S016,246.3,,,,,,246.30,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:20 POS:05,MFV 02200,5.5,5/13/2013 16:19,5/13/2013 16:30,0:11:48,,,,,5.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,91,MFV 02200,BLK:06 PLN:20 POS:05,251.80,
,,wood,james,5,BLK:06 PLN:16 POS:05,MFV 02106,,4/30/2013 21:40,4/30/2013 23:37,1:56:59,,T59-B03,WT-164 S016,250.6,,,,,,250.60,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:16 POS:05,MFV 02106,1.3,5/13/2013 16:06,5/13/2013 16:13,0:06:31,,,,,1.30,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:16 POS:05,MFV 02106,0.2,6/3/2014 15:55,6/3/2014 15:59,0:03:52,full,,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,92,MFV 02106,BLK:06 PLN:16 POS:05,252.10,
,,wood,james,7,BLK:06 PLN:12 POS:05,MFV 02349,,4/30/2013 21:35,4/30/2013 23:30,1:55:00,,T59-B03,WT-164 S016,251.1,,,,,,251.10,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:12 POS:05,MFV 02349,1.6,5/13/2013 16:42,5/13/2013 16:45,0:03:04,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,93,MFV 02349,BLK:06 PLN:12 POS:05,252.70,
,,wood,james,10,BLK:06 PLN:10 POS:05,MFV 02780,,4/30/2013 21:34,4/30/2013 23:29,1:54:45,,T59-B03,WT-164 S016,249.5,,,,,,249.50,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:10 POS:05,MFV 02780,1.9,5/13/2013 16:38,5/13/2013 16:42,0:03:48,,,,,1.90,T64-B13,WT163:S066,Larry,Brent,,BLK:06 PLN:10 POS:05,MFV 02780,0,,,,Full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,94,MFV 02780,BLK:06 PLN:10 POS:05,251.40,
,,wood,james,9,BLK:06 PLN:04 POS:05,MFV 02020,,4/30/2013 21:19,4/30/2013 23:17,1:58:04,,T59-B03,WT-164 S016,250.3,,,,,,250.30,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:04 POS:05,MFV 02020,2,5/13/2013 16:19,5/13/2013 16:25,0:06:01,,,,,2.00,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:04 POS:05,MFV 02020,0.3,6/3/2014 15:45,6/3/2014 15:48,0:02:34,full,,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,95,MFV 02020,BLK:06 PLN:04 POS:05,252.60,
,,wood,james,11,BLK:06 PLN:00 POS:05,MFV 01397,,4/30/2013 21:18,4/30/2013 23:17,1:58:48,,T59-B03,WT-164 S016,250.7,,,,,,250.70,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:00 POS:05,MFV 01397,2.2,5/13/2013 16:06,5/13/2013 16:11,0:05:09,,,,,2.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,96,MFV 01397,BLK:06 PLN:00 POS:05,252.90,
,,wood,james,2,BLK:06 PLN:30 POS:06,MFV 04664,,5/1/2013 0:15,5/1/2013 2:54,2:39:00,,T59-B03,WT-164 S016,245.7,,,,,,245.70,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:30 POS:06,MFV 04664,3.2,5/13/2013 15:24,5/13/2013 15:33,0:08:57,,,,,3.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,97,MFV 04664,BLK:06 PLN:30 POS:06,248.90,
,,wood,james,3,BLK:06 PLN:26 POS:06,MFV 02259,,5/1/2013 0:17,5/1/2013 2:58,2:41:02,,T59-B03,WT-164 S016,245.8,,,,,,245.80,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:26 POS:06,MFV 02259,5.1,5/13/2013 14:59,5/13/2013 15:13,0:14:04,,,,,5.10,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:24 POS:06,MFV 01826,0.2,6/3/2014 13:37,6/3/2014 13:38,0:00:47,full,,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,98,MFV 02259,BLK:06 PLN:26 POS:06,251.10,
,,wood,james,4,BLK:06 PLN:22 POS:06,MFV 04747,,5/1/2013 0:17,5/1/2013 3:03,2:46:15,,T59-B03,WT-164 S016,246,,,,,,246.00,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:22 POS:06,MFV 04747,4.1,5/13/2013 14:01,5/13/2013 14:11,0:10:37,,,,,4.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,99,MFV 04747,BLK:06 PLN:22 POS:06,250.10,
,,wood,james,5,BLK:06 PLN:18 POS:06,MFV 04717,,5/1/2013 0:19,5/1/2013 3:01,2:42:52,,T59-B03,WT-164 S016,247.6,,,,,,247.60,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:18 POS:06,MFV 04717,3.8,5/13/2013 13:41,5/13/2013 13:48,0:06:42,,,,,3.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:18 POS:06,MFV 04717,0.4,6/3/2014 13:26,6/3/2014 13:36,0:09:51,"1/2""",,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,100,MFV 04717,BLK:06 PLN:18 POS:06,251.80,
,,wood,james,7,BLK:06 PLN:14 POS:06,MFV 02261,,5/1/2013 0:19,5/1/2013 3:02,2:42:55,,T59-B03,WT-164 S016,250.3,,,,,,250.30,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:14 POS:06,MFV 02261,1.8,5/13/2013 15:35,5/13/2013 15:40,0:05:07,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,101,MFV 02261,BLK:06 PLN:14 POS:06,252.10,
,,wood,james,10,BLK:06 PLN:10 POS:06,MFV 04811,,5/1/2013 0:20,5/1/2013 3:00,2:40:51,,T59-B03,WT-164 S016,246.6,,,,,,246.60,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:10 POS:06,MFV 04811,4.2,5/13/2013 15:08,5/13/2013 15:19,0:11:18,,,,,4.20,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:10 POS:06,MFV 04811,0.7,6/3/2014 13:20,6/3/2014 13:26,0:05:43,"1/8""",,,0.00,0.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,102,MFV 04811,BLK:06 PLN:10 POS:06,251.50,
,,wood,james,9,BLK:06 PLN:06 POS:06,MFV 04702,,5/1/2013 0:20,5/1/2013 2:55,2:34:55,,T59-B03,WT-164 S016,244,,,,,,244.00,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:06 POS:06,MFV 04702,3.5,5/13/2013 14:45,5/13/2013 14:55,0:10:20,,,,,3.50,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:06 POS:06,MFV 04702,0.6,6/3/2014 13:17,6/3/2014 13:19,0:02:08,"1/4""",,,0.00,0.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,103,MFV 04702,BLK:06 PLN:06 POS:06,248.10,
,,wood,james,11,BLK:06 PLN:02 POS:06,MFV 04803,,5/1/2013 0:20,5/1/2013 2:56,2:35:32,,T59-B03,WT-164 S016,249.7,,,,,,249.70,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:02 POS:06,MFV 04803,4.5,5/13/2013 13:42,5/13/2013 13:55,0:13:17,,,,,4.50,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:02 POS:06,MFV 04803,0.2,6/3/2014 13:12,6/3/2014 13:14,0:01:41,full,,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,104,MFV 04803,BLK:06 PLN:02 POS:06,254.40,
,,wood,james,2,BLK:06 PLN:28 POS:06,MFV 02342,,5/1/2013 2:54,5/1/2013 8:20,5:25:46,,T59-B03,WT-164 S016,247.3,,,,,,247.30,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:28 POS:06,MFV 02342,3.9,5/13/2013 15:13,5/13/2013 15:24,0:10:57,,,,,3.90,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:28 POS:06,MFV 02342,0.4,6/3/2014 13:40,6/3/2014 13:42,0:01:57,"1/4""",,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,105,MFV 02342,BLK:06 PLN:28 POS:06,251.60,
,,wood,james,3,BLK:06 PLN:24 POS:06,MFV 01826,,5/1/2013 2:58,5/1/2013 8:20,5:21:55,,T59-B03,WT-164 S016,246.1,,,,,,246.10,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:24 POS:06,MFV 01826,5.3,5/13/2013 14:44,5/13/2013 14:59,0:14:05,,,,,5.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,106,MFV 01826,BLK:06 PLN:24 POS:06,251.40,
,,wood,james,4,BLK:06 PLN:20 POS:06,MFV 01820,,5/1/2013 3:04,5/1/2013 8:50,5:46:13,,T59-B03,WT-164 S016,229.1,swap,T59-B03,WT-166:S018,20.7,,249.80,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:20 POS:06,MFV 01820,3.8,5/13/2013 13:48,5/13/2013 14:00,0:12:10,,,,,3.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,107,MFV 01820,BLK:06 PLN:20 POS:06,253.60,
,,wood,james,5,BLK:06 PLN:16 POS:06,MFV 02045,,5/1/2013 3:02,5/1/2013 8:44,5:42:31,,T59-B03,WT-164 S016,241,swap,T59-B03,WT-166:S018,9.3,,250.30,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:16 POS:06,MFV 02045,3.2,5/13/2013 13:31,5/13/2013 13:39,0:07:57,,,,,3.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,108,MFV 02045,BLK:06 PLN:16 POS:06,253.50,
,,wood,james,7,BLK:06 PLN:12 POS:06,MFV 02338,,5/1/2013 3:02,5/1/2013 8:42,5:39:38,,T59-B03,WT-164 S016,244.2,swap,T59-B03,WT-166:S018,2.5,,246.70,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:12 POS:06,MFV 02338,5.1,5/13/2013 15:19,5/13/2013 15:33,0:13:51,,,,,5.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,109,MFV 02338,BLK:06 PLN:12 POS:06,251.80,
,,wood,james,10,BLK:06 PLN:08 POS:06,MFV 02256,,5/1/2013 3:01,5/1/2013 8:22,5:21:17,,T59-B03,WT-164 S016,246.3,,,,,,246.30,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:08 POS:06,MFV 02256,5,5/13/2013 14:55,5/13/2013 15:08,0:12:41,,,,,5.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,110,MFV 02256,BLK:06 PLN:08 POS:06,251.30,
,,wood,james,9,BLK:06 PLN:04 POS:06,MFV 04607,,5/1/2013 2:56,5/1/2013 8:13,5:17:24,,T59-B03,WT-164 S016,248.9,,,,,,248.90,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:04 POS:06,MFV 04607,3.8,5/13/2013 13:55,5/13/2013 14:12,0:16:53,,,,,3.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:04 POS:06,MFV 04607,0.3,6/3/2014 13:15,6/3/2014 13:16,0:01:50,"1/16""",,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,111,MFV 04607,BLK:06 PLN:04 POS:06,253.00,
,,wood,james,11,BLK:06 PLN:00 POS:06,MFV 01383,,5/1/2013 2:56,5/1/2013 8:12,5:15:37,,T59-B03,WT-164 S016,248.7,,,,,,248.70,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:00 POS:06,MFV 01383,4.3,5/13/2013 13:31,5/13/2013 13:41,0:10:38,,,,,4.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,112,MFV 01383,BLK:06 PLN:00 POS:06,253.00,
T59-B03,WT-166:S018,daniel,jason,2,BLK:06 PLN:30 POS:07,MFV 02359,247.50,5/1/2013 8:40,5/1/2013 10:45,2:04:41,,,,,,,,,,247.50,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:30 POS:07,MFV 02359,4.9,5/13/2013 13:08,5/13/2013 13:18,0:10:40,,,,,4.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,113,MFV 02359,BLK:06 PLN:30 POS:07,252.40,
T59-B03,WT-166:S018,daniel,jason,3,BLK:06 PLN:26 POS:07,MFV 04715,247.10,5/1/2013 8:41,5/1/2013 10:49,2:08:51,,,,,,,,,,247.10,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:26 POS:07,MFV 04715,3.3,5/13/2013 12:54,5/13/2013 13:01,0:06:56,,,,,3.30,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:26 POS:07,MFV 04715,0.3,6/3/2014 11:12,6/3/2014 11:19,0:07:36,1/8',,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,114,MFV 04715,BLK:06 PLN:26 POS:07,250.70,
T59-B03,WT-166:S018,daniel,jason,4,BLK:06 PLN:22 POS:07,MFV 04744,247.50,5/1/2013 8:51,5/1/2013 10:59,2:08:37,,,,,,,,,,247.50,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:22 POS:07,MFV 04744,1.8,5/13/2013 12:44,5/13/2013 12:48,0:04:31,,,,,1.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:22 POS:07,MFV 04744,0.3,6/3/2014 11:08,6/3/2014 11:11,0:02:25,full,,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,115,MFV 04744,BLK:06 PLN:22 POS:07,249.60,
T59-B03,WT-166:S018,daniel,jason,5,BLK:06 PLN:18 POS:07,MFV 02329,250.20,5/1/2013 8:45,5/1/2013 10:50,2:05:01,,,,,,,,,,250.20,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:18 POS:07,MFV 02329,1.4,5/13/2013 12:33,5/13/2013 12:37,0:04:36,,,,,1.40,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:18 POS:07,MFV 02329,0.4,6/3/2014 11:06,6/3/2014 11:08,0:01:20,full,,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,116,MFV 02329,BLK:06 PLN:18 POS:07,252.00,
T59-B03,WT-166:S018,daniel,jason,7,BLK:06 PLN:14 POS:07,MFV 02242,250.60,5/1/2013 8:42,5/1/2013 10:48,2:05:43,,,,,,,,,,250.60,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:14 POS:07,MFV 02242,1.1,5/13/2013 13:02,5/13/2013 13:06,0:04:04,,,,,1.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,117,MFV 02242,BLK:06 PLN:14 POS:07,251.70,
T59-B03,WT-166:S018,daniel,jason,10,BLK:06 PLN:10 POS:07,MFV 04821,248.10,5/1/2013 8:41,5/1/2013 10:45,2:04:03,,,,,,,,,,248.10,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:10 POS:07,MFV 04821,1.9,5/13/2013 12:51,5/13/2013 12:57,0:05:26,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,118,MFV 04821,BLK:06 PLN:10 POS:07,250.00,
