Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T59-B03,WT-165-S016,Wood,James,3,BLK:06 PLN:08 POS:00,MFV 02262,248.00,4/29/2013 17:50,4/29/2013 19:37,1:47:16,,,,,,,,,,248.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:08 POS:00,MFV 02262,2.7,5/14/2013 0:25,5/14/2013 0:30,0:05:19,,,,,2.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 02262,BLK:06 PLN:08 POS:00,250.70,
T59-B03,WT-165-S016,Wood,James,11,BLK:06 PLN:06 POS:01,MFV 04697,247.50,4/29/2013 17:51,4/29/2013 19:41,1:50:25,,,,,,,,,,247.50,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:06 POS:01,MFV 04697,1.1,5/13/2013 23:17,5/13/2013 23:20,0:02:30,,,,,1.10,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:06 POS:01,MFV 04697,0.2,6/4/2014 12:59,6/4/2014 13:01,0:01:51,"1/8""",,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 04697,BLK:06 PLN:06 POS:01,248.80,
T59-B03,WT-165-S016,Wood,James,12,BLK:06 PLN:00 POS:00,MFV 01334,245.70,4/29/2013 17:53,4/29/2013 19:46,1:52:35,,,,,,,,,,245.70,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:00 POS:00,MFV 01334,1.9,5/14/2013 0:05,5/14/2013 0:09,0:03:43,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 01334,BLK:06 PLN:00 POS:00,247.60,
T59-B03,WT-165-S016,Wood,James,1,BLK:06 PLN:30 POS:01,MFV 02861,247.90,4/29/2013 19:44,4/29/2013 21:47,2:02:22,,,,,,,,,,247.90,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:30 POS:01,MFV 02861,0,5/13/2013 23:44,,,,,,,0.00,T64-B13,WT163:S066,Larry,Brent,1,BLK:06 PLN:30 POS:01,MFV 02861,0.2,6/4/2014 13:11,6/4/2014 13:16,0:05:00,full,,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 02861,BLK:06 PLN:30 POS:01,248.10,
T59-B03,WT-165-S016,Wood,James,2,BLK:06 PLN:26 POS:01,MFV 02138,250.20,4/29/2013 19:35,4/29/2013 21:29,1:54:21,,,,,,,,,,250.20,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:26 POS:01,MFV 02138,1,5/13/2013 23:31,5/13/2013 23:34,0:02:34,,,,,1.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 02138,BLK:06 PLN:26 POS:01,251.20,
T59-B03,WT-165-S016,Wood,James,7,BLK:06 PLN:20 POS:01,MFV 02199,245.50,4/29/2013 19:46,4/29/2013 21:29,1:43:29,done on LL4,,,,,,,,,245.50,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:20 POS:01,MFV 02199,5.2,5/13/2013 23:12,5/13/2013 23:22,0:10:24,,,,,5.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 02199,BLK:06 PLN:20 POS:01,250.70,
T59-B03,WT-165-S016,Wood,James,8,BLK:06 PLN:16 POS:01,MFV 04799,246.50,4/29/2013 19:40,4/29/2013 21:27,1:47:42,done on LL4,,,,,,,,,246.50,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:16 POS:01,MFV 04799,1.9,5/13/2013 21:54,5/13/2013 21:58,0:04:12,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 04799,BLK:06 PLN:16 POS:01,248.40,
T59-B03,WT-165-S016,Wood,James,9,BLK:06 PLN:12 POS:01,MFV 04726,248.00,4/29/2013 19:43,4/29/2013 21:34,1:50:44,done on LL4,,,,,,,,,248.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:12 POS:01,MFV 04726,1.7,5/13/2013 23:36,5/13/2013 23:39,0:03:30,,,,,1.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 04726,BLK:06 PLN:12 POS:01,249.70,
T59-B03,WT-165-S016,Wood,James,3,BLK:06 PLN:10 POS:01,MFV 02245,249.30,4/29/2013 19:37,4/29/2013 21:33,1:55:47,,,,,,,,,,249.30,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:10 POS:01,MFV 02245,2.7,5/13/2013 23:30,5/13/2013 23:35,0:05:00,,,,,2.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 02245,BLK:06 PLN:10 POS:01,252.00,
T59-B03,WT-165-S016,Wood,James,11,BLK:06 PLN:04 POS:01,MFV 02027,251.80,4/29/2013 19:43,4/29/2013 21:35,1:52:18,done on LL4,,,,,,,,,251.80,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:04 POS:01,MFV 02027,2,5/13/2013 23:12,5/13/2013 23:17,0:04:56,,,,,2.00,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:04 POS:01,MFV 02027,0.2,6/4/2014 12:54,6/4/2014 12:59,0:04:18,full,,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,27,MFV 02027,BLK:06 PLN:04 POS:01,254.00,
T59-B03,WT-165-S016,wood,James,12,BLK:06 PLN:02 POS:01,MFV 04839,245.00,4/29/2013 19:51,4/29/2013 21:41,1:50:09,,,,,,,,,,245.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:02 POS:01,MFV 04839,1.8,5/13/2013 23:07,5/13/2013 23:11,0:03:56,,,,,1.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:02 POS:01,MFV 04839,0.2,6/4/2014 12:51,6/4/2014 12:54,0:02:47,"1/4""",,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,28,MFV 04839,BLK:06 PLN:02 POS:01,247.00,
T59-B03,WT-165-S016,Wood,James,1,BLK:06 PLN:28 POS:01,MFV 01824,247.50,4/29/2013 21:47,4/29/2013 23:34,1:47:06,delay because its one move behind have to wait tell it finishes to start on LL3,,,,,,,,,247.50,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:28 POS:01,MFV 01824,4.5,5/13/2013 23:34,5/13/2013 23:43,0:09:25,,,,,4.50,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:28 POS:01,MFV 01824,0.3,6/4/2014 13:12,6/4/2014 13:16,0:04:39,full,,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,29,MFV 01824,BLK:06 PLN:28 POS:01,252.30,
T59-B03,WT-165-S016,Wood,James,2,BLK:06 PLN:24 POS:01,MFV 02065,248.80,4/29/2013 21:29,4/29/2013 23:06,1:36:13,delay because its one move behind have to wait tell it finishes to start on LL3,,,,,,,,,248.80,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:24 POS:01,MFV 02065,1.7,5/13/2013 23:27,5/13/2013 23:31,0:03:43,,,,,1.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,30,MFV 02065,BLK:06 PLN:24 POS:01,250.50,
