Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B12,WT-164:S057,wood,perko,3,BLK:26 PLN:03 POS:03,MFV 10877,247,3/13/2014 8:43,3/13/2014 11:01,2:18:01,,,,,,,,,,247,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,20,MFV 10877,BLK:26 PLN:03 POS:03,247.00
T64-B12,WT-164:S057,wood,perko,4,BLK:26 PLN:03 POS:05,MFV 10866,251.8,3/13/2014 8:51,3/13/2014 11:13,2:22:22,,,,,,,,,,251.8,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,21,MFV 10866,BLK:26 PLN:03 POS:05,251.80
T64-B12,WT-164:S057,wood,perko,5,BLK:26 PLN:03 POS:07,MFV 10900,249.1,3/13/2014 8:51,3/13/2014 11:12,2:20:31,,,,,,,,,,249.1,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,22,MFV 10900,BLK:26 PLN:03 POS:07,249.10
T64-B12,WT-164:S057,wood,perko,8,BLK:26 PLN:03 POS:09,MFV 10878,249.9,3/13/2014 8:41,3/13/2014 11:05,2:24:03,,,,,,,,,,249.9,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,23,MFV 10878,BLK:26 PLN:03 POS:09,249.90
T64-B12,WT-164:S057,wood,perko,12,BLK:26 PLN:03 POS:11,MFV 10750,250.7,3/13/2014 8:55,3/13/2014 11:17,2:21:52,,,,,,,,,,250.7,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,24,MFV 10750,BLK:26 PLN:03 POS:11,250.70
T64-B12,WT-164:S057,wood,perko,1,BLK:26 PLN:05 POS:00,MFV 06553,251.9,3/13/2014 11:03,3/13/2014 13:23,2:19:49,,,,,,,,,,251.9,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,25,MFV 06553,BLK:26 PLN:05 POS:00,251.90
T64-B12,WT-164:S057,wood,perko,3,BLK:26 PLN:05 POS:02,MFV 10764,247.1,3/13/2014 11:02,3/13/2014 13:19,2:16:44,,,,,,,,,,247.1,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,26,MFV 10764,BLK:26 PLN:05 POS:02,247.10
T64-B12,WT-164:S057,wood,perko,4,BLK:26 PLN:05 POS:04,MFV 10807,251.4,3/13/2014 11:13,3/13/2014 13:35,2:22:00,,,,,,,,,,251.4,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,27,MFV 10807,BLK:26 PLN:05 POS:04,251.40
T64-B12,WT-164:S057,wood,perko,5,BLK:26 PLN:05 POS:06,MFV 06547,252.9,3/13/2014 11:12,3/13/2014 13:34,2:21:33,,,,,,,,,,252.9,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,28,MFV 06547,BLK:26 PLN:05 POS:06,252.90
T64-B12,WT-164:S057,wood,perko,8,BLK:26 PLN:05 POS:08,MFV 07261,249.5,3/13/2014 11:06,3/13/2014 13:30,2:24:15,,,,,,,,,,249.5,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,29,MFV 07261,BLK:26 PLN:05 POS:08,249.50
