Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B01,WT-169:S051,galvin,jim,4,BLK:22 PLN:05 POS:05,MFV 00772,252.1,1/6/2014 20:07,1/6/2014 23:12,3:05:29,,,,,,,,,,252.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,33,MFV 00772,BLK:22 PLN:05 POS:05,252.10
T59-B01,WT-169:S051,galvin,jim,6,BLK:22 PLN:05 POS:07,MFV 00543,252.2,1/6/2014 20:11,1/6/2014 22:30,2:18:44,,,,,,,,,,252.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,34,MFV 00543,BLK:22 PLN:05 POS:07,252.20
T59-B01,WT-169:S051,galvin,jim,7,BLK:22 PLN:05 POS:09,MFV 00737,252.7,1/6/2014 19:58,1/6/2014 22:07,2:09:06,,,,,,,,,,252.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,35,MFV 00737,BLK:22 PLN:05 POS:09,252.70
T59-B01,WT-169:S051,galvin,jim,8,BLK:22 PLN:05 POS:11,MFV 09773,248.5,1/6/2014 20:28,1/6/2014 22:41,2:13:41,,,,,,,,,,248.5,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,36,MFV 09773,BLK:22 PLN:05 POS:11,248.50
T59-B01,WT-169:S051,galvin,jim,2,BLK:22 PLN:07 POS:00,MFV 01094,250.1,1/6/2014 22:16,1/7/2014 0:35,2:19:28,,,,,,,,,,250.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,37,MFV 01094,BLK:22 PLN:07 POS:00,250.10
T59-B01,WT-169:S051,galvin,jim,3,BLK:22 PLN:07 POS:02,MFV 09928,249,1/6/2014 22:46,1/7/2014 1:04,2:18:37,,,,,,,,,,249,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,38,MFV 09928,BLK:22 PLN:07 POS:02,249.00
T59-B01,WT-169:S051,galvin,jim,4,BLK:22 PLN:07 POS:04,MFV 09772,250.2,1/6/2014 23:13,1/7/2014 1:33,2:20:23,,,,,,,,,,250.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,39,MFV 09772,BLK:22 PLN:07 POS:04,250.20
T59-B01,WT-169:S051,galvin,jim,6,BLK:22 PLN:07 POS:06,MFV 03044,253.6,1/6/2014 22:30,1/7/2014 0:52,2:22:15,,,,,,,,,,253.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,40,MFV 03044,BLK:22 PLN:07 POS:06,253.60
T59-B01,WT-169:S051,galvin,jim,7,BLK:22 PLN:07 POS:08,MFV 03382,253,1/6/2014 22:07,1/7/2014 0:23,2:15:21,,,,,,,,,,253,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,41,MFV 03382,BLK:22 PLN:07 POS:08,253.00
T59-B01,WT-169:S051,galvin,jim,8,BLK:22 PLN:07 POS:10,MFV 09933,250.9,1/6/2014 22:42,1/7/2014 1:00,2:18:16,,,,,,,,,,250.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,42,MFV 09933,BLK:22 PLN:07 POS:10,250.90
T59-B01,WT-169:S051,galvin,jim,2,BLK:22 PLN:07 POS:01,MFV 09921,250.6,1/7/2014 0:36,1/7/2014 2:56,2:20:11,,,,,,,,,,250.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,43,MFV 09921,BLK:22 PLN:07 POS:01,250.60
T59-B01,WT-169:S051,galvin,jim,3,BLK:22 PLN:07 POS:03,MFV 09917,249.7,1/7/2014 1:05,1/7/2014 7:10,6:05:15,,,,,,,,,,249.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,44,MFV 09917,BLK:22 PLN:07 POS:03,249.70
T59-B01,WT-169:S051,galvin,jim,4,BLK:22 PLN:07 POS:05,MFV 09934,247.1,1/7/2014 1:34,1/7/2014 7:36,6:02:16,,,,,,,,,,247.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,45,MFV 09934,BLK:22 PLN:07 POS:05,247.10
T59-B01,WT-169:S051,galvin,jim,6,BLK:22 PLN:07 POS:07,MFV 03321,251.3,1/7/2014 0:53,1/7/2014 7:02,6:09:48,,,,,,,,,,251.3,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,46,MFV 03321,BLK:22 PLN:07 POS:07,251.30
T59-B01,WT-169:S051,galvin,jim,7,BLK:22 PLN:07 POS:09,MFV 02297,251.2,1/7/2014 0:23,1/7/2014 2:37,2:14:16,,,,,,,,,,251.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,47,MFV 02297,BLK:22 PLN:07 POS:09,251.20
